id,organization_name,organization_description,organization_type,collectivity_type,staff,population,consolidation_method,reporting_year,total_scope_1,total_scope_2,total_scope_3,reference_year,action_plan,reductions_scope_1_2,reductions_scope_1,reductions_scope_2,reductions_scope_3,is_draft,source_url
33,Conseil Général des Deux Sèvres,,Collectivité territoriale (dont EPCI),Départements,1800,380000.0,,2011,12115.0,732.0,25654.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/33/back/bilans
34,VILLE D'AVIGNON,,Collectivité territoriale (dont EPCI),Communes,1800,91000.0,,2012,6395.0,2104.0,2306.0,,Oui,1900.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/34/back/bilans
35,Centre Hospitalier Laborit,"Établissement spécialisé en santé mentale
couvrant l’ensemble du département de la Vienne.",Etablissement public,,1326,,Opérationnel,2011,1831.0,80.0,493.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/35/back/bilans
36,TIPIAK TRAITEUR PATISSIER,Fabrication de produits de cocktail salés et sucrés,Entreprise,,579,,Opérationnel,2011,2141.0,474.0,302.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/36/back/bilans
37,Crédit Agricole Charente Périgord,Activités Bancaires,Entreprise,,1250,,Opérationnel,2011,1806.1852000000001,446.0,7875.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/37/back/bilans
38,Conseil Général de la Manche,,Collectivité territoriale (dont EPCI),Régions,52,489000.0,,2011,11838.199999999999,2519.2,0.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/38/back/bilans
39,Perpignan,,Collectivité territoriale (dont EPCI),Communes,2393,119536.0,,2013,5039.0,1119.0,20682.0,,Oui,1200.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/39/back/bilans
41,Chambéry Métropole,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,430,125000.0,,2013,5968.0,494.0,325.0,2007.0,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/41/back/bilans
42,Rambouillet Territoires,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,122,57813.0,,2012,557.0,69.0,915.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/42/back/bilans
43,Cités en Champagne,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,119,64221.0,,2012,2628.0,235.0,4369.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/43/back/bilans
44,Clermont Communauté,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,461,283200.0,,2011,18038.0,1089.0,6633.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/44/back/bilans
45,Communauté d’Agglomération Seine-Eure,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,268,69000.0,,2011,1812.444,458.261,13706.306,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/45/back/bilans
46,AT&MIS,"- Infogérance de système d´information
 - Maintenance informatique en atelier et sur site
 - Distribution de matériels informatique
 - Intégration et le déploiement de matériels informatique
 - Infrastructure systèmes et réseaux
 - Câblage réseau RJ45 et Fibre Optique
 - Vente de pièces détachées aux professionnels
 - Assistance téléphonique aux utilisateurs",Entreprise,,44,,Opérationnel,2013,11.0,0.0,297.0,2011.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/46/back/bilans
47,Conseil Général de Moselle,,Collectivité territoriale (dont EPCI),Départements,3400,1045146.0,,2011,23219.0,4605.0,61268.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/47/back/bilans
48,Antibes,,Collectivité territoriale (dont EPCI),Communes,2100,75500.0,,2011,3279.0,1841.0,19195.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/48/back/bilans
49,SDIS Charente,Service Départemental Incendie et Secours,Etablissement public,,1285,,Financier,2012,1356.8899999999999,45.51,299.02,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/49/back/bilans
50,Conseil général de l'Essonne,,Collectivité territoriale (dont EPCI),Départements,4300,1215340.0,,2012,11868.0,4307.0,59295.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/50/back/bilans
51,Communauté de l'Auxerrois,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,104,67055.0,,2010,350.0,0.0,6850.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/51/back/bilans
52,ViennAgglo,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,280,69378.0,,2009,1862.0,0.0,10896.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/52/back/bilans
53,Tours Plus,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,400,271000.0,,2009,2000.0,0.0,19576.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/53/back/bilans
54,Conseil Général de Haute Savoie,,Collectivité territoriale (dont EPCI),Départements,2500,725794.0,,2011,20100.0,0.0,64800.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/54/back/bilans
55,Nîmes Metropole,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,250,240000.0,,2011,8024.0,5629.0,4398.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/55/back/bilans
56,Département de la Gironde,,Collectivité territoriale (dont EPCI),Départements,6500,1500000.0,,2011,41373.0,1705.0,175284.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/56/back/bilans
70,CONSEIL DEPARTEMENTAL DU NORD,,Collectivité territoriale (dont EPCI),Départements,8200,2600000.0,,2011,56979.0,4854.0,115475.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/70/back/bilans
72,Perpignan Méditerranée Communauté d'Agglomération,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,800,263901.0,,2012,7003.0,199.0,95987.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/72/back/bilans
76,Association Régionale Biomasse Normandie,"L'Association a pour objet de conduire des travaux de Recherche-Développement et de mener des actions de promotion, de conseil et d'appui portant sur : la valorisation énergétique et agronomique de la biomasse, les économies d'énergies et l'utilisation des énergies renouvelables, et la gestion des déchets.",Association,,17,,Opérationnel,2014,14.47995,0.8923,23.083399999999997,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/76/back/bilans
77,BOIRON,"Fabrication, conditionnement et distribution de médicaments homéopathiques",Entreprise,,2575,,Opérationnel,2014,6296.0,2358.0,0.0,2011.0,Oui,243.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/77/back/bilans
81,La Cordée,"La Cordée est une communauté de travailleurs nomades (freelances, entrepreneurs, télétravailleurs)  qui travaillent quotidiennement ou ponctuellement au sein de plusieurs espaces de travail (coworking), se retrouvent lors de nombreux événements et partagent compétences, contacts et coups de mains.
 Et c’est bien sûr de la convivialité, des expressos et des jeux de mots venus d’on ne sait où.",Entreprise,,10,,Opérationnel,2014,21.1,4.6,92.19999999999999,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/81/back/bilans
82,GROUPAMA SUPPORTS ET SERVICES,"GIE  dont les secteurs d'activités sont la logistique, l'informatique et les achats pour l'ensemble du Groupe GROUPAMA",Entreprise,,1673,,Opérationnel,2014,614.0,1203.0,3733.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/82/back/bilans
83,Département de La Réunion,,Collectivité territoriale (dont EPCI),Départements,5000,833000.0,,2011,14747.0,30177.0,74982.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/83/back/bilans
84,Lorient Agglomération,,Collectivité territoriale (dont EPCI),Communes,614,204500.0,,2014,17517.594,2556.415,2726.693,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/84/back/bilans
88,MMP Packetis S.A.S,"MMP Packetis, leader du Packaging Santé, propose à ses clients une offre globale de produits et services comprenant des étuis, des notices, des systèmes de calage, des étiquettes adhésives et des services SAV/Maintenance dédiés aux clients pliant les notices sur leurs lignes de conditionnement.",Entreprise,,584,,Opérationnel,2014,575.0699999999999,578.13,48942.299999999996,2011.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/88/back/bilans
91,Menway,Prestataire de Ressources Humaines,Entreprise,,263,,Opérationnel,2014,274.0,21.0,233.0,2011.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/91/back/bilans
92,DPD FRANCE,Transport de colis,Entreprise,,1800,,Opérationnel,2014,62521.0,598.0,913.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/92/back/bilans
95,Centre Hospitalier de Jonzac,Centre hospitalier,Etablissement public,,871,,Opérationnel,2014,492.662,1070.58,6495.85,,Oui,138.0,,,214.0,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/95/back/bilans
96,Socomec SAS,"Conception, fabrication et commercialisation de composants et d'équipements électriques et électroniques pour le contrôle, la sécurité et la disponibilité des réseaux électriques basse tension.",Entreprise,,1300,,Opérationnel,2014,2963.0,414.0,0.0,2011.0,Oui,60.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/96/back/bilans
97,Département de la Charente-Maritime,,Collectivité territoriale (dont EPCI),Départements,3200,628733.0,,2011,19469.0,1139.0,69400.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/97/back/bilans
99,Bourg-en-Bresse Agglomération,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,197,75000.0,,2012,2287.0,673.0,14619.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/99/back/bilans
106,Esterra,"Collecte des ordures ménagères, des encombrants et des déchets d’entreprises, d’établissement publics et de déchèteries. 
Exploitation de déchetteries (Haut de Quai), hyrdrocurage et nettoyage 
Collecte de déchet diffus spécifiques (DDS) et de déchets d’activité de soin à risque infectieux (DASRI)
Collecte de repasse (Corbeilles
Propreté Urbaine de voire
Mise à disposition d’équipements associés à ces activités",Entreprise,,1100,,Opérationnel,2011,10481.0,111.0,0.0,,Oui,314.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/106/back/bilans
108,Longchamp SAS,Fabrication de sacs et de petites maroquineries en cuir,Entreprise,,894,,Opérationnel,2014,28300.0,6196.0,29389.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/108/back/bilans
110,Longchamp SAS,Fabrication de sacs et maroquinerie en cuir,Entreprise,,3000,,Opérationnel,2013,26837.0,8112.0,34793.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/110/back/bilans
111,Longchamp SAS,Fabrication de sacs et maroquinerie en cuir,Entreprise,,3000,,Opérationnel,2012,28536.0,8291.0,35804.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/111/back/bilans
112,Parlement européen,"Le Parlement européen (PE), institution parlementaire de l'Union européenne, est élu tous les cinq ans au suffrage direct par les citoyens de l'Union. Il se réunit douze fois par an à Strasbourg (France); certaines séances plénières, ainsi que la plupart des réunions des commissions parlementaires, ont lieu à Bruxelles (Belgique). Son secrétariat est partagé entre Luxembourg, Bruxelles et Strasbourg. Le Parlement européen est l'une des trois institutions principales de l'Union européenne.",Etablissement public,,751,,Opérationnel,2014,1948.0,2049.0,17882.0,2006.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/112/back/bilans
113,RIO TINTO - ALUMINIUM DUNKERQUE,Production d'aluminium primaire,Entreprise,,578,,Opérationnel,2014,,,,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/113/back/bilans
114,Caisse d'Epargne Aquitaine Poitou Charentes,"La Caisse d'Epargne Aquitaine Poitou-Charentes est une des 17 Caisses d’Epargne du Groupe BPCE. Elle a pour objet toutes opérations de banque, de services d’investissement et d’intermédiation d’assurance effectuées avec ses sociétaires et avec les tiers. Elle peut également effectuer toutes opérations connexes aux opérations de banque et de services d’investissement, exercer l’activité d’intermédiaire ou d’entremise dans le domaine immobilier, prendre toutes participations et, généralement, effe",Entreprise,,2740,,Opérationnel,2014,1229.0,789.0,26454.0,2011.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/114/back/bilans
119,MERCK SANTE SAS,Laboratoire pharmaceutique,Entreprise,,930,,Opérationnel,2014,7829.74,1540.7,0.0,2006.0,Oui,,1000.0,90.0,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/119/back/bilans
123,NORAUTO FRANCE,Centres autos: entretiens et équipements automobiles,Entreprise,,5860,,Opérationnel,2014,2547.0,2164.0,143298.0,2011.0,Oui,150.0,,,165.0,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/123/back/bilans
132,UNIVERSITE DE LILLE 1 - Sciences et Technologies,Etablissement Public d'Enseignement Supérieur et de Recherche,Etablissement public,,2975,,Opérationnel,2015,663.0,4460.0,11898.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/132/back/bilans
133,ITS GROUP,"ITS Group est une ESN, spécialisée dans le développement durable des infrastructures IT. Le groupe propose une offre de solutions et services spécialisés à très forte valeur ajoutée et s’engage aux côtés des Directions Informatiques dans une démarche d’optimisation et d’industrialisation des infrastructures et des applications.",Entreprise,,1185,,Opérationnel,2014,78.0,256.0,0.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/133/back/bilans
134,Université de Bretagne Occidentale,Établissement d'enseignement supérieur et de recherche,Etablissement public,,2375,,Opérationnel,2012,2588.0,426.0,5893.0,,Oui,119.0,,,351.0,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/134/back/bilans
138,Adidas France SARL,Commerce de gros d'habillement et de chaussures,Entreprise,,690,,Opérationnel,2014,499.53000000000003,360.0,0.0,2012.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/138/back/bilans
139,E.P.D.S.,EHPAD de 250 lits; 30 lits de SSR et 30 lits d'USLD,Etablissement public,,274,,Opérationnel,2014,253.0,32.0,88.0,,Oui,,253.0,32.0,88.0,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/139/back/bilans
140,Informatique Banque Populaire,Informatique bancaire,Entreprise,,1100,,Opérationnel,2014,405.0,431.0,3806.0,2012.0,Oui,,405.0,387.0,3848.0,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/140/back/bilans
141,NICOLLIN SAS,"3ème opérateur français dans la gestion de déchets : 
- Collecte des déchets ménagers et assimilés
- Tri de la collecte sélective et des déchets d'activités économiques 
- Nettoiement urbain.",Entreprise,,1142,,Opérationnel,2014,22443.0,247.0,0.0,,Oui,1495.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/141/back/bilans
143,DUC,"Abattage, Découpe, Transformation, Conditionnement de viande de volailles",Entreprise,,891,,Opérationnel,2014,9164.618,2118.559,0.0,,Oui,,2000.0,200.0,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/143/back/bilans
144,CENTRE HOSPITALIER NORD DEUX-SEVRES,,Etablissement public,,1840,,Opérationnel,2014,,,,,Oui,131.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/144/back/bilans
146,UNIVERSITE D'ARTOIS,Établissement Public d'Enseignement Supérieur et de Recherche,Etablissement public,,1046,,Opérationnel,2015,2911.97,153.16,10526.95,,Oui,,290.0,15.0,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/146/back/bilans
148,VETOQUINOL,Industrie pharmaceutique vétérinaire,Entreprise,,645,,Opérationnel,2014,,,,,Oui,344.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/148/back/bilans
149,ARKEMA FRANCE,"Le Groupe est un acteur important de l’industrie chimique mondiale.
Le secteur d’activité auquel le Groupe appartient, communément appelé « industrie des industries », fabrique une gamme variée de produits à destination d’autres grandes industries : bâtiment, emballage, chimie, automobile, électronique, alimentation, pharmacie, etc.",Entreprise,,7555,,Opérationnel,2014,719000.0,175400.0,0.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/149/back/bilans
150,TRIBALLAT SAS,Fabrication de produits laitiers et à base de soja.,Entreprise,,658,,Opérationnel,2014,12884.114,2015.904,3495.644,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/150/back/bilans
