Source,Property,Value
historical_emissions_pik,Frequency of Updates: annual; every x years/months/days; no updates planned,Annual
historical_emissions_pik,Summary of License,Creative Commons Attribution-NonCommercial 4.0 International license
historical_emissions_pik,Link to License or Terms of Service,https://creativecommons.org/licenses/by/4.0/
historical_emissions_pik,Citation,"Gütschow, J.; Jeffery, L.; Gieseke, R.; Günther, A. (2019): The PRIMAP-hist national historical emissions time series v2.1 (1850-2017). GFZ Data Services. <https://doi.org/10.5880/pik.2019.018>."
historical_emissions_pik,Published Language,English
historical_emissions_pik,Published Title (If not English),
historical_emissions_unfccc,Title (75 character limit),UNFCCC historical emissions
historical_emissions_unfccc,Technical Title,UNFCCC GHG data
historical_emissions_unfccc,Source Organization,United Nations Framework Convention on Climate Change (UNFCCC)
historical_emissions_unfccc,Learn More Link,http://di.unfccc.int/detailed_data_by_party
historical_emissions_unfccc,"Function/Summary: Tagline description of what data says 
(150 character limit)",Greenhouse Gas Inventory Data - Detailed data by Party
historical_emissions_unfccc,"Description: 
Recap data name, source organization
Objectives/ data type/ Methodology",The GHG inventory data from UNFCCC are provided in the annual GHG inventory submissions by Annex I Parties and in the national communications under the Convention by non-Annex I Parties.
historical_emissions_unfccc,Cautions: Known use limitations/cautions regarding: geographic/content coverage; source (inconsistency); methodology ,"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties. Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC). The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol. An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed. Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Andorra, Antigua and Barbuda, Armenia, Bahrain, Bangladesh, Brunei Darussalam, Cabo Verde, Cook Islands, Costa Rica, Côte d'Ivoire, Colombia, Equatorial Guinea, Eswatini, Fiji, Gambia, Grenada, Ghana, Honduras, Indonesia, Iran, Jamaica, Kuwait, Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Montenegro, Namibia, Nicaragua, Nigeria, Panama, Oman, Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia, South Africa, Suriname, United Arab Emirates, Venezuela, Viet Nam, and Zambia) and biennial update reports (Afghanistan, Andorra, Antigua and Barbuda, Argentina, Armenia, Azerbaijan, Benin, Cambodia, Chile, Colombia, Costa Rica, Côte d'Ivoire, Dominican Republic, Egypt, El Salvador, Ghana, Georgia, Guinea-Bissau, India, Indonesia, Jordan, Laos Peoples Republic, Malaysia, Mauritania, Mexico, Mongolia, Montenegro, Morocco, Namibia, Nigeria, North Macedonia, Oman, Panama, Paraguay, Papua New Guinea, Peru, Republic of Moldova, Serbia, Singapore, South Africa, Tajikistan, Togo, Tunisia, Uruguay, and Uganda). Note 4: – means ""No data available"". Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions."
historical_emissions_unfccc,Geographic Coverage: global; quasi-global; select regions/countries,Global
historical_emissions_unfccc,Date of Content: List all years; for multiple years (2001 - 2014),1990-2018
historical_emissions_unfccc,Frequency of Updates: annual; every x years/months/days; no updates planned,Bi-annually
historical_emissions_unfccc,Summary of License,"Public domain, may be freely downloaded, copied and printed provided no change to the content is introduced, and the source is acknowledged."
historical_emissions_unfccc,Link to License or Terms of Service,http://unfccc.int/home/items/2783.php
historical_emissions_unfccc,Citation,UNFCCC. 2020. Greenhouse Gas Inventory Data - Detailed data by Party. Accessed Feb 2021. https://di.unfccc.int/detailed_data_by_party.
historical_emissions_unfccc,Published Language,English
historical_emissions_unfccc,Published Title (If not English),
