Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Germany,CAIT,Total including LUCF,All GHG,MtCO₂e,776.61,803.18,820.7,818.22,814.43,854.7,837.46,823.34,862.97,832.31,889.47,886.8,915.88,909.39,933.79,953.66,954.76,973.21,924.72,934.16,968.6,994.92,1032.92,1004.79,1011.41,1024.31,1032.01,1079.69,1109.28
Canada,CAIT,Total including LUCF,All GHG,MtCO₂e,763.44,745.74,731.11,844.67,848.12,841.21,830.07,825.24,975.84,962.46,999.57,1023.93,992.64,1006.64,995.19,1000.48,981.04,962.37,739.69,723.75,726.1,709.57,696.88,672.53,656.82,636.25,638.22,622.29,626.36
Mexico,CAIT,Total including LUCF,All GHG,MtCO₂e,695.26,694.58,698.62,684.99,659.98,668.85,674.16,680.75,584.23,580.11,595.78,565.29,543.9,521.72,497.06,492.69,469.03,463.07,559.46,533.02,554.43,518.59,490.56,464.6,483.6,458.0,438.32,435.45,417.45
Democratic Republic of the Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,681.67,686.17,685.22,685.35,682.66,682.12,677.83,678.57,444.19,441.53,441.49,437.15,443.97,441.4,441.04,437.71,431.03,418.8,427.38,430.8,438.56,436.63,430.38,434.85,434.86,434.53,434.16,433.76,434.87
South Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,673.08,664.54,651.13,635.34,613.81,624.54,624.83,620.34,586.31,533.49,519.83,505.75,496.96,488.66,493.24,469.14,461.26,468.43,469.38,411.82,373.96,438.77,412.92,384.99,352.61,325.01,294.15,269.59,244.25
Saudi Arabia,CAIT,Total including LUCF,All GHG,MtCO₂e,638.12,656.08,664.17,660.37,629.39,585.81,568.1,534.21,514.56,470.78,450.11,412.59,389.51,366.49,349.93,331.54,318.25,297.91,291.54,278.67,271.9,253.57,269.71,255.07,250.09,235.98,227.52,212.83,190.64
Australia,CAIT,Total including LUCF,All GHG,MtCO₂e,619.26,623.08,577.32,566.47,566.21,555.26,643.12,644.74,601.14,633.8,617.09,646.46,646.91,598.44,635.5,583.65,660.75,665.72,661.97,643.6,608.08,582.28,571.01,571.19,563.06,559.98,560.3,558.13,558.21
South Africa,CAIT,Total including LUCF,All GHG,MtCO₂e,520.5,521.36,508.24,507.48,531.53,519.44,509.55,490.65,506.27,483.46,504.1,472.37,452.0,449.65,449.33,421.83,400.28,384.62,351.05,347.85,368.91,361.36,347.87,337.33,326.81,320.86,312.42,315.46,319.52
Turkey,CAIT,Total including LUCF,All GHG,MtCO₂e,473.87,474.03,432.17,374.18,367.45,342.57,351.35,337.24,331.37,321.6,318.18,319.59,289.65,260.27,247.73,241.45,229.56,219.28,267.48,243.49,243.59,242.39,233.26,215.5,200.92,205.73,199.22,191.74,189.27
United Kingdom,CAIT,Total including LUCF,All GHG,MtCO₂e,441.13,450.24,464.28,486.78,502.84,543.71,562.45,540.98,583.6,570.73,625.56,645.52,661.01,663.91,669.83,674.47,666.82,684.64,673.87,671.25,697.42,701.07,722.68,702.55,711.75,722.61,739.51,761.64,746.4
Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,438.22,421.6,396.4,371.24,356.49,342.88,332.43,328.63,321.54,327.27,316.9,313.94,297.16,277.77,269.49,252.54,244.71,238.3,236.06,233.94,221.37,217.56,210.65,203.61,193.14,186.47,176.65,167.45,166.5
Thailand,CAIT,Total including LUCF,All GHG,MtCO₂e,431.22,428.94,410.92,395.67,393.87,397.19,386.03,363.65,329.44,309.61,310.02,306.56,291.25,287.81,281.87,259.15,245.95,233.7,268.47,267.19,257.4,275.67,268.47,247.92,228.84,214.03,197.92,186.02,174.02
Argentina,CAIT,Total including LUCF,All GHG,MtCO₂e,395.5,397.7,396.27,428.37,421.76,424.7,414.84,410.64,429.81,424.07,442.98,438.82,425.42,410.92,406.44,391.04,369.3,372.45,331.14,332.24,326.15,322.34,319.81,305.93,305.35,300.27,297.76,293.36,288.37
Malaysia,CAIT,Total including LUCF,All GHG,MtCO₂e,388.11,365.0,378.56,191.89,205.53,174.34,155.92,155.6,379.15,366.72,368.36,357.03,332.3,336.4,322.76,298.2,288.9,270.24,278.87,267.24,288.83,257.86,247.37,239.11,231.7,224.79,221.4,214.67,207.11
Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,386.78,393.01,398.64,381.49,370.58,390.27,422.08,439.93,450.75,442.26,491.14,506.06,512.76,525.16,523.88,512.77,494.23,485.95,488.0,483.07,475.84,464.54,460.76,464.51,439.52,444.81,451.12,454.34,456.75
Vietnam,CAIT,Total including LUCF,All GHG,MtCO₂e,364.43,328.33,330.21,305.32,261.78,248.78,236.38,235.82,277.74,259.62,237.99,227.29,213.22,207.64,198.37,180.26,174.91,157.92,63.11,55.08,51.84,40.65,32.87,25.03,18.85,13.23,6.54,4.03,1.17
France,CAIT,Total including LUCF,All GHG,MtCO₂e,361.37,370.47,368.04,369.04,363.05,396.16,395.28,392.42,404.32,400.59,418.88,425.14,432.32,442.64,441.98,444.36,439.49,447.09,483.67,486.59,497.02,480.98,490.93,472.18,463.44,469.18,487.97,502.72,477.92
Nigeria,CAIT,Total including LUCF,All GHG,MtCO₂e,357.52,337.4,330.64,323.23,327.77,318.11,303.64,299.26,281.15,258.87,277.1,274.16,276.1,281.19,264.22,260.59,252.94,248.44,247.07,249.74,258.68,266.82,276.14,265.37,270.78,272.12,272.23,260.06,249.87
Poland,CAIT,Total including LUCF,All GHG,MtCO₂e,356.74,357.17,344.31,339.15,335.26,348.35,353.7,360.67,320.3,302.33,318.18,324.46,324.47,310.64,309.02,304.75,292.88,300.69,358.79,372.24,382.95,412.81,423.05,408.44,408.95,413.64,414.15,424.94,429.16
Egypt,CAIT,Total including LUCF,All GHG,MtCO₂e,329.4,320.55,315.96,307.26,298.19,292.15,294.89,284.1,276.27,274.79,268.73,259.61,244.52,233.9,215.91,202.7,198.41,193.53,180.91,179.61,170.77,163.95,154.53,147.11,138.13,142.45,140.18,135.07,129.43
Spain,CAIT,Total including LUCF,All GHG,MtCO₂e,313.06,318.35,301.97,317.67,307.09,308.62,334.71,340.98,330.31,345.5,382.32,415.54,399.28,405.41,390.66,374.51,365.39,348.65,327.4,309.99,285.23,275.71,254.16,260.7,246.79,233.85,248.65,238.82,232.63
Venezuela,CAIT,Total including LUCF,All GHG,MtCO₂e,277.26,286.63,301.07,379.78,394.2,392.76,387.66,368.02,348.48,345.38,344.66,332.82,328.29,335.9,321.04,318.62,325.0,318.43,374.82,365.07,370.61,370.45,363.45,349.03,340.51,337.76,331.42,327.42,325.64
Kazakhstan,CAIT,Total including LUCF,All GHG,MtCO₂e,271.23,280.59,271.53,249.48,248.23,297.58,284.28,284.28,275.78,249.71,280.62,234.21,226.14,204.78,192.35,175.32,164.14,147.08,147.35,148.12,164.26,164.97,192.78,220.83,252.51,277.48,319.1,318.28,308.25
Colombia,CAIT,Total including LUCF,All GHG,MtCO₂e,267.95,260.61,264.21,233.78,232.02,228.65,221.94,223.5,244.95,240.51,236.44,235.52,229.66,228.35,226.33,223.94,221.71,222.71,233.07,228.71,239.0,237.26,232.23,231.69,228.62,226.53,222.51,218.85,217.08
United Arab Emirates,CAIT,Total including LUCF,All GHG,MtCO₂e,263.24,269.82,259.65,252.85,240.02,237.63,226.57,214.63,208.58,202.08,199.89,174.27,162.95,156.7,148.02,139.31,131.6,127.37,113.34,112.69,108.39,103.86,96.09,90.78,84.37,77.76,74.82,76.25,69.71
Ukraine,CAIT,Total including LUCF,All GHG,MtCO₂e,262.43,251.96,277.97,265.08,317.98,353.9,364.85,376.94,345.37,327.37,387.22,401.26,393.04,387.71,406.48,441.53,411.04,408.37,385.01,403.27,406.96,434.81,459.23,521.01,551.55,646.85,735.92,828.09,873.7
Philippines,CAIT,Total including LUCF,All GHG,MtCO₂e,234.82,228.35,212.04,199.22,190.12,182.28,170.9,165.75,163.75,157.97,155.97,152.77,147.22,154.2,152.88,149.12,145.99,144.28,144.82,142.9,137.3,143.44,134.83,125.88,113.69,105.92,100.41,98.27,98.21
Uzbekistan,CAIT,Total including LUCF,All GHG,MtCO₂e,232.14,231.55,227.54,219.73,222.96,229.83,227.25,239.23,226.78,221.36,247.58,238.1,240.12,217.26,220.2,217.72,222.74,218.92,225.43,205.67,198.82,187.84,193.36,190.94,199.69,222.25,190.34,200.66,197.93
Myanmar,CAIT,Total including LUCF,All GHG,MtCO₂e,231.62,229.98,221.28,227.79,221.49,213.95,211.26,202.7,232.44,227.49,217.36,230.26,221.14,216.56,225.17,212.14,200.33,201.58,222.18,225.41,219.89,213.58,215.9,218.2,215.09,212.57,209.89,207.34,207.89
Bangladesh,CAIT,Total including LUCF,All GHG,MtCO₂e,220.75,214.18,205.26,204.52,195.62,190.85,187.33,183.76,178.5,171.06,167.36,159.06,156.42,150.91,146.24,144.67,143.03,139.71,134.54,132.37,128.46,128.66,126.39,125.86,120.8,118.35,117.14,115.24,115.06
Algeria,CAIT,Total including LUCF,All GHG,MtCO₂e,219.11,212.33,210.03,211.46,203.53,193.39,189.38,179.41,171.63,170.49,160.67,157.43,150.18,144.67,139.19,135.37,129.57,122.31,127.36,120.4,114.42,109.08,104.99,103.66,99.45,101.7,94.16,94.54,95.67
Iraq,CAIT,Total including LUCF,All GHG,MtCO₂e,216.19,201.29,197.79,185.86,193.77,186.98,175.68,153.68,141.36,128.25,104.97,95.48,101.32,105.09,90.93,86.92,97.81,102.09,90.52,80.16,96.75,130.3,111.75,110.0,114.03,103.01,80.01,58.3,78.65
Ethiopia,CAIT,Total including LUCF,All GHG,MtCO₂e,204.67,203.35,199.92,193.58,188.21,180.17,173.67,166.05,163.85,158.63,154.15,149.46,138.98,133.69,129.96,127.6,128.94,119.19,112.72,115.5,113.73,107.08,102.16,98.44,96.28,93.88,98.4,95.87,94.1
Peru,CAIT,Total including LUCF,All GHG,MtCO₂e,186.18,185.87,187.96,183.85,182.2,178.81,177.42,177.04,149.77,145.59,141.47,136.81,132.8,133.19,131.65,127.3,127.36,125.32,122.09,121.44,117.11,116.84,115.54,111.96,107.18,104.65,103.48,102.62,103.85
Netherlands,CAIT,Total including LUCF,All GHG,MtCO₂e,179.99,185.91,189.52,189.7,180.75,188.06,188.48,190.26,203.24,192.44,197.69,199.91,200.03,204.7,210.34,208.78,208.85,209.35,208.55,210.62,223.08,222.95,231.75,220.82,215.43,215.69,210.18,210.79,205.44
Tanzania,CAIT,Total including LUCF,All GHG,MtCO₂e,175.57,175.49,176.81,164.65,155.92,152.42,148.15,140.84,136.69,133.03,130.35,127.09,124.27,128.97,122.48,122.55,113.58,107.46,102.02,104.74,105.0,101.0,101.0,108.0,104.0,103.0,103.0,103.0,102.75
Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,130.64,129.91,130.01,125.99,122.35,121.16,120.84,116.09,116.64,118.35,116.38,115.25,109.78,110.72,105.75,103.26,100.32,95.03,107.06,107.8,104.16,97.46,89.75,85.38,84.18,79.7,77.76,74.13,73.23
Bolivia,CAIT,Total including LUCF,All GHG,MtCO₂e,126.21,125.32,126.36,115.51,112.39,111.88,111.8,111.42,122.67,101.39,102.42,107.32,102.56,100.75,104.92,92.79,95.21,89.29,109.82,119.22,113.75,112.74,111.71,111.02,111.44,109.37,107.6,105.78,104.98
Turkmenistan,CAIT,Total including LUCF,All GHG,MtCO₂e,125.08,125.62,125.94,126.15,119.77,114.27,108.94,101.66,91.9,86.13,94.4,94.27,89.75,89.34,88.86,84.38,77.22,72.84,69.8,66.86,59.91,57.69,56.92,59.38,57.44,53.18,56.19,69.95,79.18
Angola,CAIT,Total including LUCF,All GHG,MtCO₂e,124.59,137.32,138.85,139.09,136.5,135.41,133.21,133.54,133.35,128.34,123.39,121.86,114.99,115.14,114.92,111.24,100.57,95.49,73.29,77.65,79.62,71.74,73.33,71.47,67.1,66.96,66.17,65.85,65.18
Cameroon,CAIT,Total including LUCF,All GHG,MtCO₂e,123.33,122.84,122.84,121.47,120.46,120.1,118.77,119.25,127.86,126.55,126.48,126.33,125.1,126.78,123.97,126.14,123.4,123.34,137.82,136.42,137.23,133.37,132.5,132.22,132.18,75.74,71.57,71.62,71.93
Zimbabwe,CAIT,Total including LUCF,All GHG,MtCO₂e,118.77,116.09,116.52,42.89,40.84,42.42,42.36,42.04,39.3,36.27,35.35,37.26,36.73,37.86,37.39,37.49,40.16,43.14,42.23,45.06,42.75,41.44,42.27,40.35,40.49,40.75,44.29,43.48,43.18
Czech Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,117.03,118.3,118.28,118.65,116.73,119.45,124.74,128.14,127.45,124.37,132.0,137.06,134.09,133.11,136.18,135.63,131.29,136.91,134.68,124.05,132.16,138.79,141.3,139.69,139.71,147.0,151.72,156.17,172.9
Kuwait,CAIT,Total including LUCF,All GHG,MtCO₂e,112.97,111.46,109.84,106.21,100.31,100.55,97.45,93.58,89.21,85.46,82.71,77.91,78.24,75.23,67.15,63.0,60.42,57.48,53.58,49.76,45.51,39.28,37.79,38.22,37.81,32.97,26.33,38.74,32.05
Mozambique,CAIT,Total including LUCF,All GHG,MtCO₂e,110.07,106.39,107.78,98.9,99.78,99.38,97.79,93.75,104.37,95.68,100.92,96.0,93.89,95.09,90.39,91.4,86.48,86.39,68.48,70.86,72.05,69.33,71.6,85.82,85.58,85.61,85.21,84.87,84.89
Belgium,CAIT,Total including LUCF,All GHG,MtCO₂e,108.91,108.41,110.52,109.16,104.09,110.5,109.23,109.82,121.44,114.12,121.18,118.84,123.51,126.49,130.35,131.78,128.4,135.68,134.3,134.27,138.13,135.36,138.55,133.19,133.02,127.66,129.84,131.76,126.81
Chad,CAIT,Total including LUCF,All GHG,MtCO₂e,105.06,102.15,100.19,97.44,92.23,89.7,88.03,84.86,73.18,69.99,69.93,69.47,67.2,65.92,62.44,59.23,55.04,50.83,46.87,46.58,44.74,40.17,38.44,35.24,34.21,33.22,32.25,31.37,24.94
Libya,CAIT,Total including LUCF,All GHG,MtCO₂e,103.04,96.58,86.62,84.88,102.27,109.15,117.93,115.16,145.81,141.57,138.42,132.52,134.75,133.59,127.32,123.42,120.15,115.37,111.3,109.46,111.01,109.57,109.81,107.57,105.69,100.49,99.77,102.72,105.32
Qatar,CAIT,Total including LUCF,All GHG,MtCO₂e,99.83,97.34,94.7,92.46,88.94,82.7,80.86,72.84,68.84,63.19,60.67,55.95,49.05,44.81,35.26,32.04,30.5,26.17,24.23,25.37,23.13,21.69,20.05,19.1,18.23,17.34,16.42,16.24,14.08
Afghanistan,CAIT,Total including LUCF,All GHG,MtCO₂e,99.08,97.45,95.53,93.48,84.37,74.55,66.5,58.41,45.03,37.08,31.66,25.0,21.16,17.52,16.64,16.9,16.21,13.61,12.69,14.53,13.71,12.95,12.05,11.09,10.88,11.08,11.25,12.71,12.79
Paraguay,CAIT,Total including LUCF,All GHG,MtCO₂e,95.29,97.1,94.16,115.54,115.13,113.28,111.63,110.36,97.24,94.53,92.51,94.74,91.09,90.96,89.59,91.75,90.05,89.81,73.74,78.31,75.13,74.9,73.7,73.74,71.74,71.75,71.53,72.17,75.16
Zambia,CAIT,Total including LUCF,All GHG,MtCO₂e,93.23,93.87,93.51,94.32,89.04,88.17,86.73,82.69,68.23,62.11,65.56,63.26,60.68,65.37,62.74,62.17,56.45,53.21,47.47,53.22,57.15,58.16,59.95,70.94,73.43,74.99,76.27,76.95,77.42
Morocco,CAIT,Total including LUCF,All GHG,MtCO₂e,92.35,91.16,86.73,88.35,85.61,83.82,83.0,80.73,72.5,68.69,68.11,65.14,63.9,61.35,58.46,53.91,53.64,51.84,47.58,46.47,44.29,43.36,41.41,40.73,40.11,37.0,37.31,36.19,34.78
Ecuador,CAIT,Total including LUCF,All GHG,MtCO₂e,91.84,90.21,91.17,83.48,84.87,84.03,81.06,79.83,90.38,87.58,84.27,82.98,82.85,80.37,78.86,76.2,75.62,75.26,78.93,79.72,82.35,83.43,81.38,78.0,74.88,73.27,73.51,71.25,70.4
Israel,CAIT,Total including LUCF,All GHG,MtCO₂e,87.92,91.14,89.51,89.46,87.1,88.51,96.67,89.54,89.32,83.86,84.28,83.61,80.41,76.09,77.43,76.34,75.52,73.5,73.59,68.72,66.52,65.15,62.13,59.03,55.21,51.88,47.82,45.03,43.95
Central African Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,87.07,86.67,90.99,83.31,79.57,80.65,80.14,83.04,78.74,70.69,80.89,80.56,77.77,78.25,72.15,83.41,69.63,74.07,66.21,64.61,67.96,62.37,58.69,69.67,69.1,66.16,65.67,65.19,64.44
Greece,CAIT,Total including LUCF,All GHG,MtCO₂e,86.14,87.92,88.31,89.58,91.31,94.37,102.01,107.17,107.1,113.81,120.71,124.62,121.21,122.83,120.74,121.13,117.81,117.43,117.05,111.37,110.45,106.21,105.1,104.03,99.62,97.0,96.63,94.55,94.44
Romania,CAIT,Total including LUCF,All GHG,MtCO₂e,86.13,85.69,82.96,-177.03,-178.71,-177.81,-168.24,-165.52,112.18,115.28,131.91,133.95,137.74,136.3,137.89,140.81,134.98,138.07,134.81,130.19,145.8,163.31,175.94,172.66,167.11,170.57,182.02,203.46,245.92
Oman,CAIT,Total including LUCF,All GHG,MtCO₂e,82.32,78.51,77.85,76.26,72.07,68.28,65.34,58.73,52.48,48.44,45.55,46.22,42.44,32.53,32.12,32.24,31.51,29.87,27.1,24.85,21.51,21.28,19.7,19.32,17.38,17.47,18.13,19.16,14.79
Azerbaijan,CAIT,Total including LUCF,All GHG,MtCO₂e,78.35,78.61,79.97,79.18,80.36,80.18,80.64,79.47,77.18,72.9,71.98,64.4,65.74,62.71,58.72,57.43,59.73,58.8,58.71,56.6,56.29,55.45,55.36,60.01,62.05,68.59,60.44,84.19,75.17
Kenya,CAIT,Total including LUCF,All GHG,MtCO₂e,71.21,69.13,71.93,82.31,79.66,76.73,74.73,75.37,79.81,78.2,77.78,76.44,59.65,59.19,58.81,56.18,55.22,54.32,35.5,36.48,34.26,32.9,32.87,33.33,32.98,32.72,32.92,32.92,34.15
New Zealand,CAIT,Total including LUCF,All GHG,MtCO₂e,70.71,71.45,69.8,64.97,65.02,64.53,64.95,62.69,57.14,57.36,60.16,60.14,61.43,61.17,59.66,61.02,58.59,57.05,51.29,51.14,48.89,50.39,48.09,47.55,46.29,44.56,45.48,44.62,45.17
Uganda,CAIT,Total including LUCF,All GHG,MtCO₂e,70.71,69.83,68.72,66.07,64.26,62.54,61.57,59.58,58.84,55.99,54.95,47.72,44.25,44.79,42.53,42.31,40.41,39.45,39.64,39.72,39.76,38.19,36.7,35.88,35.06,35.31,34.87,34.55,34.0
Cambodia,CAIT,Total including LUCF,All GHG,MtCO₂e,69.15,70.81,68.73,103.41,100.75,100.1,99.66,101.28,36.96,38.12,36.52,36.76,35.82,32.38,33.89,33.0,30.49,28.04,27.43,29.09,29.56,26.06,24.76,28.47,26.3,27.38,26.45,25.8,25.99
South Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,68.49,65.83,68.58,64.74,67.66,70.42,74.53,73.36,76.9,77.69,75.66,74.71,70.9,71.98,68.63,66.34,63.54,59.79,64.8,62.44,59.09,53.72,48.88,44.75,43.97,42.06,40.03,37.56,36.66
Austria,CAIT,Total including LUCF,All GHG,MtCO₂e,67.85,70.71,68.53,68.41,67.28,71.05,70.5,73.72,76.55,70.83,77.79,78.22,81.31,83.63,83.59,82.77,77.69,76.39,64.76,64.56,66.38,66.4,67.41,63.69,61.22,61.12,61.2,66.99,62.79
Portugal,CAIT,Total including LUCF,All GHG,MtCO₂e,67.15,71.77,66.81,66.64,62.51,62.92,64.62,66.31,68.6,73.87,74.74,76.99,78.41,83.7,80.6,78.71,83.6,78.72,80.33,80.82,74.08,68.93,66.63,68.18,64.41,62.5,63.58,59.56,57.84
Belarus,CAIT,Total including LUCF,All GHG,MtCO₂e,66.68,63.76,62.24,68.08,72.53,73.22,72.6,70.97,65.26,60.67,63.54,59.4,60.66,57.49,56.74,53.02,52.01,53.15,46.09,48.68,50.95,52.84,52.41,51.66,59.65,72.69,85.47,99.3,104.36
Singapore,CAIT,Total including LUCF,All GHG,MtCO₂e,66.67,66.0,63.99,62.51,60.78,59.57,58.66,59.05,55.98,52.25,51.7,51.4,50.13,49.68,52.39,50.96,54.07,54.95,55.25,50.61,49.66,50.69,50.59,49.15,47.8,44.23,37.34,34.74,31.56
Papua New Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,64.09,63.76,63.56,62.81,60.2,58.62,57.44,56.74,48.67,48.66,48.57,49.46,49.63,49.86,51.05,49.61,49.61,48.81,48.89,47.51,46.37,59.93,45.38,45.96,42.44,41.56,40.5,39.5,38.45
Hungary,CAIT,Total including LUCF,All GHG,MtCO₂e,62.81,62.78,60.86,59.67,56.74,56.47,58.81,62.68,64.35,64.37,70.22,71.63,73.8,74.57,75.48,76.67,73.79,75.63,72.67,75.48,74.76,74.9,76.57,74.3,75.97,76.32,75.77,85.72,90.74
Serbia,CAIT,Total including LUCF,All GHG,MtCO₂e,62.51,64.42,64.1,60.07,53.76,61.66,60.89,65.63,28.54,29.16,32.5,33.85,34.13,31.83,38.67,33.25,30.25,26.97,57.37,55.38,72.71,73.0,68.16,60.67,54.1,57.78,63.54,68.81,79.12
Ireland,CAIT,Total including LUCF,All GHG,MtCO₂e,62.29,62.45,63.08,61.1,59.3,59.14,60.06,58.41,62.91,64.27,69.64,70.69,72.32,71.35,70.13,70.9,70.62,71.35,68.77,65.8,64.24,60.84,59.34,57.85,57.02,55.54,54.89,54.68,54.11
Finland,CAIT,Total including LUCF,All GHG,MtCO₂e,61.43,60.02,62.88,-1.07,2.38,6.47,5.73,11.43,59.29,51.19,54.8,62.92,64.75,53.39,65.56,69.47,61.32,58.93,37.79,39.13,39.81,43.45,45.39,38.94,42.92,36.31,35.07,38.18,38.27
Botswana,CAIT,Total including LUCF,All GHG,MtCO₂e,57.45,58.79,54.92,55.73,56.09,57.28,57.82,68.83,63.76,53.17,62.3,53.51,55.21,53.35,51.95,51.32,58.44,58.09,56.28,56.5,56.43,56.61,56.98,55.54,54.61,54.33,54.65,54.38,54.94
Mongolia,CAIT,Total including LUCF,All GHG,MtCO₂e,55.72,53.99,51.2,48.92,47.31,44.76,42.31,38.92,36.16,38.88,37.84,37.61,34.9,31.98,29.29,29.5,29.76,31.61,34.91,33.78,33.7,34.06,31.88,32.52,31.6,33.37,34.57,36.71,34.47
Burkina Faso,CAIT,Total including LUCF,All GHG,MtCO₂e,54.96,54.66,53.75,34.11,33.36,32.86,31.84,31.12,41.27,40.09,39.39,38.55,37.8,37.75,37.08,36.48,33.0,32.26,30.42,29.07,29.15,28.37,27.83,27.9,27.52,27.05,26.79,26.49,26.04
Nepal,CAIT,Total including LUCF,All GHG,MtCO₂e,54.57,53.06,52.26,46.82,47.78,45.78,44.84,42.54,33.93,32.45,30.37,28.8,28.47,28.68,27.86,27.65,26.4,27.11,29.46,28.75,26.84,25.68,24.77,24.1,22.89,21.8,20.85,20.99,20.6
Chile,CAIT,Total including LUCF,All GHG,MtCO₂e,51.77,52.77,50.37,23.21,17.45,23.68,20.68,18.43,57.15,52.36,55.06,50.39,42.17,40.85,40.23,34.93,34.08,33.28,54.22,57.97,55.16,53.95,46.64,40.3,36.84,33.32,31.95,29.62,30.34
Côte d'Ivoire,CAIT,Total including LUCF,All GHG,MtCO₂e,49.55,49.77,49.41,48.1,47.05,47.09,45.79,44.83,45.94,46.98,48.89,49.91,50.99,52.82,52.33,54.69,57.46,58.12,93.64,94.44,93.17,93.13,92.25,92.5,92.51,86.68,80.99,75.4,69.67
Bahrain,CAIT,Total including LUCF,All GHG,MtCO₂e,48.95,47.94,47.15,46.95,45.9,43.76,40.88,39.66,38.92,37.01,36.43,34.03,32.88,30.46,27.37,27.07,26.02,24.85,24.02,22.86,22.17,20.33,19.34,17.96,17.13,16.67,15.78,13.76,14.06
