City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in emissions,City Location,Country Location
City of Minneapolis,35879,USA,Minneapolis,,2014,2012,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,4396116,"Electricity grid mix has gotten cleaner, warmer winter, slightly more fuel-efficient cars, airport has converted much of the fleet to more fuel efficient planes.","(44.983334, -93.26667)","(37.09024, -95.712891)"
City of Melbourne,31109,Australia,Melbourne,C40,2014,2012,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"City of Melbourne includes the emissions sources categorised in the GPC trial. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts.

* Electricity, gas and water data was provided directly by the utility companies.
* Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics.
* Emissions from tram and rail were taken from the government website which publishes emissions reports for all companies that reach the mandatory reporting threshold as dictated in the National Greenhouse and Energy Reporting Act 2007.
*The amount of waste produced within the municipality was estimated from a waste survey comissioned by Council and conducted in 2012.",6442240,This year we used the same data reported for the GPC trial (with boundary changes resulting in different overall totals). The increase this year was due almost entirely to differences in the electricity data provided by the utility company (no explanation has been provided by the company).,"(-37.814107, 144.96328)","(-25.274398, 133.775136)"
Kaohsiung City Government,31112,Taiwan,Kaohsiung,,2014,2012,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The methodology we used is mainly based on "" Guidelines for City Level Greenhouse Gas Inventories"", which was published by Environmental Protection Administration, Executive Yuan, R.O.C. in July 2011, and ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"". In addition, if there is emission coefficient research for specific local GHG emission estimation, we will apply local emission coefficient for calculation. Whole emission sources are separated into 7 sectors including energy sector, transportation sector, residential/commercial sector, industrial sector, waste sector, agriculture sector, and forestry sector. We collected data of energy and fuel consumption from each sector's competent authorities, and calculated city GHG emission with recommended emission coefficients.",63251100,"Compared to 2011 (63,640,300 tonnes), greenhouse gas emission in 2012 (63,251,100 tonnes) is slightly lower. If we look back on emission data of last few years, the amount of GHG emission in Kaohsiung is slightly on a down trend. The main source of GHG emission in Kaohsiung is industry sector accounting for over 80% of total amount, which makes carbon reduction works even tougher in the city. However, implementing and cooperating with the regulations of GHG control rules published by central administrative authority, Kaohsiung believes that positive results will gradually reveal soon.","(22.629705, 120.343804)","(23.69781, 120.960515)"
Comune di Ferrara,36286,Italy,Ferrara,,2014,2007,Other:,"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. 
The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. Initially created by the Lombardy Region in collaboration with the Piedmont Region, INEMAR has been managed by ARPA Lombardy since 2003, and since 2006 it has been developed in the context of an inter-regional cooperation that still sees the participation of Lombardy, Piedmont, Veneto, Friuli Venezia Giulia, Emilia-Romagna, Apulia, Marche and the autonomous provinces of Trento and Bolzano.
In a suitable manual, the Emilia-Romagna Region defined, in a shared manner with the regional local bodies, the methods for the processing and breakdown at the Municipal level of the data from the regional inventory of greenhouse gas emissions from 2007, a baseline reference year.
At the Municipal level, the breakdown of emissions were then made available within a software developed by ARPA Emilia-Romagna and based on the Inventory tool LAKS, created and financed with the contribution of the financial tool LIFE of the European Community within the European Project LIFE+ ""LAKS ‐ Local Accountability for Kyoto Goals"". This software was made available to the local bodies of the Emilia-Romagna Region to draft their own Climate Plans and Sustainable Energy Action Plans (SEAP).
As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level.
The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064. Emissions were subdivided by sector (e.g.: consumption and emissions of residential buildings, transports, waste, etc.), in accordance with the categories established by the Cartesio Guidelines and eventually adapted to the specific characteristics of the territory. Overall emissions of the territory were calculated based on estimates created by ARPA Emilia-Romagna as a breakdown of the Regional Inventory INEMAR. The territorial perimeter considered for the emissions inventory of the Terre Estensi Association was made of the sum of the territories of the three member Municipalities and thus referred to the Municipal administrative confines, considering all emissions within the geopolitical confines of the area in which each of the three Municipalities has jurisdiction. Even if the local administration can only have limited influence on certain types of activities, the analysis considers all activities that can influence greenhouse gas emissions in one territory. In line with European and regional methodological indications, excluded from the analysis are all systems included within the ETS (Emission Trade System), the exchange system of active emission quotas at the European level. In turn, direct and indirect emissions are subdivided in the main sectors responsible for energy consumption and thus for generating greenhouse gases. The Sectors considered for indirect emissions concern Residential and Service Sector, Industry (non-ETS), Transport, Waste, Agriculture, Local energy production, Other sources",1582605.13,,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
New York City,3417,USA,New York,C40,2014,2011,Other:,"ConEdison (ConEd) provided data on use of citywide electricity
and steam, and natural gas in the Bronx, Manhattan, and parts of
Queens. National Grid reported natural gas use data for Brooklyn,
parts of Queens, and Staten Island. The Long Island Power Author-
ity (LIPA) reported electricity use data for the Rockaways area of
Queens. Fuel oil use was provided by private fuel oil suppliers, per
Local Law 43 of 2013, which requires fuel oil providers to report
fuel oil deliveries by fuel type to the City on an annual basis. The
New York Metropolitan Transportation Council (NYMTC) provided
on-road transportation vehicle-miles-traveled (VMT) data. Energy
use data for public transit were provided by the Metropolitan
Transportation Authority (MTA) for New York City Transit (NYCT)
subways and buses, Staten Island Railway (SIR), MTA Metro-North
Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail,
and MTA Bus Company buses; by the Port Authority of New York
and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail;
and New Jersey Transit (NJT) for its commuter rail and buses.
Data used to calculate fugitive and process CH4 and process N2O
from wastewater treatment were provided by DEP. CH4 emissions
were calculated based on the destruction of volatile material in
anaerobic digesters. Based on the measured concentration and
flow of volatile organic solids, it is estimated that 15 cubic feet of
digester gas is produced for every pound of volatile organic solids
destroyed. N2O emissions were calculated by applying the daily
nitrogen load discharged by each of the City’s 14 wastewater
treatment plant to the formula in the LGOP.

Fugitive CH4 from in-city landfills was calculated from landfill gas
collection data provided by the New York City Department of Sani-
tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported
solid waste was calculated using waste disposal figures for resi-
dential, commercial, and construction and demolition waste and
applying emissions factors from the USCP, which were taken from
EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural
gas distribution was calculated using data provided by National
Grid and ConEd. Fugitive SF6 from electricity distribution was cal-
culated using data provided by ConEd. 

All DSNY-managed municipal solid waste (residential and some
institutional solid waste) generated in New York City is exported to 
landfills by private contractor and waste-to-energy facilities by
DSNY. Fuel consumed by trains and trucks exporting solid waste
out of the city is calculated using data provided by DSNY detailing
the mass of waste transported, mode of transport, and distance
to each disposal facility. Fuel use was calculated by estimating
how many trucks and trains are needed to transport the waste,
and applying average fuel economy figures to the weighted aver-
age distance to receiving landfills.

Scope 3 aviation emissions were calculated using fuel use data
from the PANYNJ. Emissions coefficients in the LGOP were applied
to the total volume of jet fuel and aviation gasoline loaded onto
airplanes at LaGuardia and John F. Kennedy airports, as modeled
by PANYNJ using the numbers of passengers departing from each
airport during the year of analysis.

GHG emissions were calculated from all data acquired as
described using emissions coefficients in the LGOP, unless other-
wise noted. Fuel economy factors for on-road vehicles were cal-
culated as described in the Updates and Revisions section of the
Appendices. All emissions coefficients and fuel economy figures
are reported in Appendix C.",45923778,"Citywide emissions changes from 2005 to 2012:
• Citywide emissions were 19 percent lower in 2012 than 2005,
almost two-thirds to the PlaNYC goal of a 30 percent reduction by 2030 (See Fig. 3)
• Reduced carbon intensity of the city’s electricity supply was
the largest driver of GHG emissions reduction, reducing GHG
emissions by more than 6.6 million metric tons (or 11 percent)
• Local economy, population, and building square footage have
grown while total energy consumption has decreased slightly
• New Yorkers reduced electricity and heating fuels use per unit
of building floor area, and reduced per capita vehicle use and
solid waste generation
• Fugitive sulfur hexafluoride (SF6) emissions from electricity
distribution decreased significantly","(40.7127837, -74.0059413)","(37.09024, -95.712891)"
Prefeitura do Rio de Janeiro,31176,Brazil,Rio de Janeiro,C40,2014,2012,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"We have also used a methodology developed by Centro Clima/ COPPE/UFRJ, which builds upon the guidelines from the IPCC-2006 Guide, and also considers the adaptations already incorporated in the protocols for Brazilian national communications to the UN framework on Climate Change, 2004 and 2010. The publication is called ""Comunicação Nacional Inicial do Brasil à Convenção-Quadro das Nações Unidas sobre Mudanças no Clima"", Ministério da Ciência e Tecnologia, Brasília. 

In relation to the tiers utilized, those were dependant on the availability of data for each source of emissions. The same applies to emissions factors that, as much as possible, were obtained locally. In their absence, the priority for utilization of this information followed this hierarchical criteria:
a) national values, as provided by the national communications of Brazil;
b) values acquired through the specialized literature in Brazil;
c) default values as provided by the IPCC-2006. 

We measured the values of carbon dioxide, methane and nitrous oxide in the city for 2012. 

Global Warming Potential was based on the values established on the fourth IPCC (AR-4) in 2007: 21 for CH4 and 310 for N20.",20758240,"The emissions have increased for the following reasons:
- growth in GDP and increased economic activity in the city due to the proximity to the World Cup in 2014 and Olympic Games in 2016.
- the city is undergoing major infrastructural changes, with heavy investments in transportation and urban remodelling, which increases the number of public works;
- increase in the usage of thermal energy due to federal policy;
- increase in the consumption of gasoline, due to a) federal direct tax subsidies to petrol, b) federal tax exemptions for the purchase of new automobiles and c) elevation of income in Rio
- increase in car fleet
- crisis in the production of ethanol nationwide, leading to the consumption of more gasoline.
- establishment of Thyssenkrup CSA , an industrial plant that produces iron ore, and which is not yet working at its full potential (that will happen in 2016). It is one of the most modern plants in the world and with lowest carbon impact in the steel sector. It produces its own electricity and sells the excess to the grid.  
In 2012 TKCSA produced 8.8Mt CO2 of gross GHG emissions (scope 1), whereas net emissions (difference between net and avoided emissions) were estimated in 6.3 million of metric tonnes of CO2, which produced 3.5 million metric tonnes of iron ore, according to CSA reports. TKCSA represented 80% of increases in city emissions from 2005 levels.
- Additionally, Rio has one of lowest emissions rate per capita among large metropolises in the world (3,5 tons per capita).","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
Seoul Metropolitan Government,31187,South Korea,Seoul,C40,2014,2011,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"1) Additional Protocols: 
- Guidelines For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010
- ISO 14064-1 (Specification with guidance at the organizational level for quantification and reporting of greenhouse gas emissions and removals)

2) Calculation: 
Considering 2006 IPCC G/L as standard methodology, Seoul has applied domestic activity and basic Emission Factors of the guideline for calculation as well as basic city data (energy consumption, waste, etc.). Emissions of 6 major greenhouse gases (CO2, CH4, N2O, HFCs, PFCs, SF6) stated in the Kyoto Protocol were calculated and Seoul applied Global Warming Potentials (GWPs) from the second Assessment Report from the IPCC. 

3) Classification of emission source: 
In large, the classification is based on the 2006 IPCC G/L classification system but the categories were integrated or specified according to the characteristics of the city of Seoul. Based on the range of Seoul's authority, emission sources were classified into Scope 1 (Direct emission) and Scope 2 (Indirect emission), in accordance with the local GHG calculation guidelines.  

4) Measurement: 
Activities are collected from the official statistics of the national government and are used as activity for calculation of greenhouse gas emissions by sector. Official statistics provided by the national government are released every year and include oil statistics, electricity statistics, and chronology regional energy statistics. Emission calculations such as Emission Factor, are mainly based on the IPCC Guideline.
(Example: Emissions from energy sector = Fuel consumption (TJ) × Fuel emission factor (kgGHG/TJ)",49008230,"GHG emission quantity in energy industry was reduced by 1,440tCO2eq year on year, especially contributed by the reduction in indirect emission in electricity.","(37.566535, 126.9779692)","(35.907757, 127.766922)"
Jakarta City Government,31166,Indonesia,Jakarta,C40,2014,2005,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Identify GHG emissions from potential sector, such energy using, transportation, solid waste, waste water, and industrial.
Inventory GHG emissions and transportation as potential source.
Identify mitigaton action through define criteria and scoring


Method of calculation:Emission / absorption of GHG = AD x EF

AD: The data generated from the construction activities and human activities
EF: The amount of emissions per uptake per unit",43860000,"- Commitment to Reduce the Greenhouse Gas Emissions 

- Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in 2005, which was 34,67 million tons of CO2e and the emisions projection for 2030 (if we were continue with “BAU=Business As Usual”) of 117.45 million tons of CO2e.  

Based on this prediction, the 30% reduction would need to be   approximately 35,24 million tons of CO2e / year. To support the reduction commitment, the following  mitigation strategies will be applied:

Implement energy savings and increase the utilization of environmentally-friendly alternative energy. 

Improve emissions control of moving and unmoving sources","(-6.2087634, 106.845599)","(-0.789275, 113.921327)"
Village of Kadiovacik,35755,Turkey,Kadiovacik,,2014,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The worksheets (calculation tools) of green house gas protocol are used to calculate CO2 emission.,467.45,"Photovoltaic panels
LED bulbs
decrease in fuel usage","(38.3434574, 26.553613)","(38.963745, 35.243322)"
Municipality of Recife,35872,Brazil,Recife,,2014,2012,International Emissions Analysis Protocol (ICLEI),"In the first Inventory of GHG Emissions of Recife emissions of carbon dioxide ( CO2 ) , nitrous oxide ( N2O ) and methane ( CH4 ) , issued within the limits of the municipality during the year 2012 were recorded . The greenhouse gas emissions was performed for each type of GHG and converted paw tons of CO2 equivalent ( CO2e ) according to the global warming potentials below:
• Carbon dioxide ( CO2 ) = 1 CO2e ;
• Methane ( CH4) CO2 e = 21 ;
• Nitrous oxide ( N2O ) = 310 CO2e .
The methodological approach used in the collection and storage of data was based on the International Protocol for Analysis of Emissions ( EIPA ) . The EIPA Protocol was launched in 2009 by ICLEI in order to promote a specific analysis methodology for local governments , detailing emissions at two levels : government and community.
For purposes Rapporteur , the First Emission Inventory of Greenhouse Effect is according to Global Protocol for Communities ( GPC ) , thus the results presented in this paper goes against this global initiative , providing the opportunity for methodological harmonization with other cities around the world .",1883,This is our first inventory.,"(8.3127386, -62.7284414)","(-14.235004, -51.92528)"
Comune di Napoli,36158,Italy,Naples,,2014,2005,Other:,,2913435,,"(40.8419943, 14.2513831)","(41.87194, 12.56738)"
Mexico City,31172,Mexico,Mexico City,C40,2014,2012,"Other: Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) pilot Version 1.0 (C40 and ICLEI), IPCC Guidelines for National Greenhouse Gas Inventories published in 2006 and IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, published in 2000.","Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation.",24551216,"Emissions from transportation sector are 8% lower due to a reduction of vehicles in the fleet.

The data base for industrial facilities was updated.","(19.4326077, -99.133208)","(23.634501, -102.552784)"
