Organization;Account number;Country;City;C40;Reporting year;Accounting year;Primary protocol;Primary protocol comment;Total city-wide emissions;City location;Country location;Accounting year start;CDP Region;Reporting authority;Access;City-wide emissions inventory;Accounting year end;Duration;Administrative city boundary;Inventory boundary (compared to Administrative city boundary);Common Reporting Framework inventory format (GPC);Gases included;Scopes included;Scope 1 generation of grid supplied energy;Scope 1 excluding generation of grid supplied energy;Scope 2 generation of grid supplied energy;Scope 2 excluding generation of grid supplied energy;Scope 3 generation of grid supplied energy;Scope 3 excluding generation of grid supplied energy;Scope 1;Scope 2;Scope 3;TOTAL BASIC emissions (GPC);TOTAL BASIC+ emissions (GPC);Comment;Change in emissions;Primary reason for the change in emissions;Land area (in square km);Population;Population Year;Average altitude (m);Average annual temperature (in Celsius);City GDP;GDP currency;Year of GDP;GDP Source;Last update
City of Denver;32550;USA;Denver;;2012;2010;Other: Denver used a hybrid methodology that mostly employs World Resources Institute (WRI) protocols and ICLEI/C40.  WRI was used mostly for upstream (indirect) emissions that occur outside of our political boundaries (fuel, concete, food and packaging).;"Our methodology is best described in a peer-reviewed journal paper ""A Demand-Centered, Hybrid
Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q";13028000.0;(39.737567, -104.9847179);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Amsterdam;31148;Netherlands;Amsterdam;C40;2012;2010;Other: Energy use;We calculate the energy use. That means the use of gas, oil, coal. For the transportsector we look  at the amount of km per roadtype and per vehikeltype,. Basis for use of transportfuel and therefore basis for CO2 emissions.;5045000.0;(52.3702157, 4.8951679);(52.132633, 5.291266);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Yokohama;31113;Japan;Yokohama;C40;2012;2008;Other: Action Plan of the City of Yokohama for Climate Change Measures(Measures for Local Areas)( 2011) formulated based on Article 20-3 of the Act on Promotion of Global Warming Countermeasures, we calculate the emission of GHG by the city offices and businesses. Calculated based on the Formulation Manual of Global Warming Countermeasure Action Plan for Local Government Organizations (Local Policy), First Edition.;"
Carbon dioxide (CO2)
Methane (CH4)
Dinitrogen monoxide (N2O)
Hydrofluorocarbon (HFC)
Perfluorocarbon (PFC)
Sulfur hexafluoride (SF6)
 *Calculation method is only for CO2
-CO2: Emission from burning fuel (electricity included) and emission from burning waste
[Emission from burning fuel]
Fuel:Calculated by multiplying CO2 emission factor to the annual usage amount of heavy oil, city gas, etc. of economy sections, energy conversion, industrial, businesses, households, and transportation, based on the statistical data of each fuel and.
Electricity: By Indirect emission method. Calculated by multiplying CO2 emission factor (disclosed by the power company) to the annual usage of electricity by each section.
[Emission from burning wastes]
CO2 emission factor is multiplied to the amount of wastes that are incinerated annually. Based on the international rule, CO2 emission from waste originating from biomass are excluded.
-CH4: Emission from burning waste, agriculture, wastes, conversion of greenery
-N2O: Emission from burning waste, industrial process, organic solvent and use of other products, agriculture, and wastes
-HFC, PFC, SF6: Emission from manufacturing, usage, and disposal stages";19787000.0;(35.4437078, 139.6380256);(36.204824, 138.252924);2008-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;31151;Switzerland;Basel-Stadt;C40;2012;2010;;"The statistic report is under construction and will be available at the end of the year 2012.

There is a study about the potential of renewable energy and emissions http://www.aue.bs.ch/energiestudie-bs-endbericht-2011.pdf

The report  http://www.aue.bs.ch/energiestudie-bs-endbericht-2011.pdf is according to the methodology of  http://www.stadtzuerich.ch/content/dam/stzh/dib/Deutsch/Energieversorgung/Publikationen%20und%20Broschueren/PRZH_2kW_Methodikpapier_2009-05-06.pdf

The energy and CO2-emission statistic (which will be published every two years and will be puplished the first time at the end of 2012) is under construction. It follows the rules of reporting of the climate convention.";;(47.5674422, 7.5975507);(46.818188, 8.227512);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tokyo Metropolitan Government;31111;Japan;Tokyo;C40;2012;2009;Other: The Guidline set by Japanese Ministry of Environment;"Basically we follow a guideline set by the Ministry of Environment, which is called the ""Guideline for local governments about establishing local climate change action plans"". However, if there are new international or domestic methods which are more applicable, we use those methods too.

-Targets of calculations are CO2, CH4, N2O, HFC, PFC and SF6.
-We calculate CO2 equivalent amount of emission for each gas by multiplying the amount of each emission by its global warming potential.
-Emissions are calculated by economic sectors: Residential, Commercial, Industrial and Transportation.
-Indirect CO2 emissions from consumption of purchased electricity are also included.
-Concerning emissions from trains, ships, and airplanes, we calculate them within the geographic boundary of TMG conforming to the international rule.";62178462.0;(35.6896342, 139.6921007);(36.204824, 138.252924);2009-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New York City;3417;USA;New York;C40;2012;2010;The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB);Information reported to CDP is consistent with New York City's greenhouse gas inventory published in September 2011. At time of CDP submission, the The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB) was still under development, so New York City was not able to verify full compliance with this standard. However, the City is currently piloting this approach and intends to revise its accounting and reporting methodology for upcoming inventories. As reported in its September 2001 inventory, New York City has elected to include emissions from the transport of solid waste to landfills outside of the city in its community inventory, consistent with the inclusion of this source in the local government operations inventory (this source will likely be excluded from future inventories). Consistent with the forthcoming, draft International Basic Standard for Community-Scale GHG Emissions Inventories (ICLEI/C40/WB), New York City has also has elected to include emissions associated with the decomposition of solid waste exported outside of the city as part of its community emissions total. New York City used the waste commitment method for estimating GHG emissions from landfilled and converted solid waste - this differs from the first order decay method required by the The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB), which New York City will use for future GHG inventories. New York City did not include emissions from marine transportation in its September 2011 GHG inventory - this will also be included in future GHG inventories. New York City also used custom emissions coefficients for electricity and steam.;54348841.0;(40.7127837, -74.0059413);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeente Rotterdam;31179;Netherlands;Rotterdam;C40;2012;2010;The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB);"For the city of Rotterdam the GHG protocol is used and the governmental boundaries apply, hence including the port. The Rotterdam Climate Initiative (RCI) uses scope 1 for its target: 50% reduction of the CO2 emissions in 2025 compared to the 1990 level. 
Some 88% of the CO2 emissions is caused by the industry in the Port of Rotterdam. 
Next to that we monitor the scope 2 emissions for the built environment. This number is filled in in C1.5.  
In December 2011 an inventory was made on the emissions in 2009 of the other green house gasses, but these numbers are not yet final (and the accuracy is limited). These numbers are not included in C1.5.";29608297.0;(51.9163716, 4.4509382);(52.132633, 5.291266);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of San Diego;35884;USA;San Diego;;2012;2008;2006 IPCC Guidelines for National Greenhouse Gas Inventories;IPCC;12500000.0;(32.715738, -117.1610838);(37.09024, -95.712891);2008-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Durban;35863;South Africa;Durban;;2012;2010;"Other: International Local Government GHG Emissions Analysis Protocol Version 1.0; and Local Government Operations Protocol for the Quantification and Reporting of Greenhouse Gas Emissions Inventories Version 1.1";The protocols used were designed to provide standardized set of guidelines to assist local governments in quantifying and reporting GHG emissions associated with their government and community operations. Both protocols are based upon the Corporate GHG Protocol developed by the World Resources Institute (WRI) and the World Business Council for Sustainable Development (WBCSD) as well as technical guidance provided by the United Nations Intergovernmental Panel on Climate Change (IPCC).;25962074.0;(-29.8586804, 31.0218404);(-30.559482, 22.937506);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Berlin;31153;Germany;Berlin;C40;2012;2008;Other: Statistical Institute Berlin-Brandenburg,;"The balance of energy-related CO2 emissions is calculated according to a methodology agreed between the German states. There are two ways to look at energy-related CO2 emissions. The calculation of carbon balance based on primary energy sources is subdivided by the sources of emissions, energy transformation and final energy consumption. This method shows only the total amount of carbon dioxide emitted in the city but it does not include the impact of external electricity trade. Therefore, the consumption of final energy consumers is not reflected. That is why Berlin prefers a method which is a consumption-based accounting of CO2 emissions. This methodology of calculating CO2 emissions is based on data from the end-use sectors, and puts electricity imports into account. It also adds to the end-users’ emissions those produced by generation of electricity and district heating in the energy transformation sector. Consumption-based accounting of CO2 emissions is therefore one indicator to find out the end-users’ emissions in a region.
The calculation is based on the energy balance as comprehensive and complete presentation of the energy consumption as a basis. In addition there are specific CO2 factors necessary based on the calorific value of an energy source offered by the Federal Environment Agency differentiated according to energy source and application.";20764000.0;(52.5200066, 13.404954);(51.165691, 10.451526);2008-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Houston;31108;USA;Houston;C40;2012;2007;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"Since an ICLEI – Local Governments for Sustainability community inventory protocol is still in
the process of being produced, the City of Houston is utilizing the 2008 Local Government
Operations Protocol (LGOP) and the 2006 IPCC Guidelines for National Greenhouse Gas
Inventories for the community inventory. However, it is noted that according to ICLEI, the
community inventory protocol will mirror the LGOP, which also incorporates the 2006 IPCC
Guidelines (Yienger, 2009, personal communication). Also, it must be noted that the two
existing documents that specifically address the Project 2 Degrees (P2D) software were heavily
utilized and frequently cited the 2006 IPCC Guidelines.";37031473.0;(29.7601927, -95.3693896);(37.09024, -95.712891);2007-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Chicago;3203;USA;Chicago;C40;2012;2010;Other: and 2006 IPCC Guidelines for National Greenhouse Gas Inventories;"Several protocols for estimating GHG emissions were used to prepare the 2010 Regional GHG Inventory, as no standard protocol for the development of local or regional community-wide inventories currently exists. ICLEI is expected to release a community inventory protocol in 2012, however, and may be utilized for future updates to the Chicago Region’s emissions inventory. These GHG protocols used in the 2010 Regional GHG Inventory are listed below, and were applied to each sector, as relevant and as discussed below for each emissions sector. 

The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints.

The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. 

The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. 

The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions.

Emissions are commonly divided into three categories or “scopes”, as follows (World Resources Institute 2004):
Scope 1: Direct GHG emissions, such as emissions from combustion of natural gas or in vehicles, where the emission occurs directly at the activity causing the emission.
Scope 2: Indirect GHG emissions, such as emissions associate with the consumption of electricity due to power plant emissions or methane emissions at a landfill that receives waste , where the emissions occur at a location separate from the activity causing the emission.

Scope 3: All other indirect emissions not covered in Scope 2 that are not owned or controlled by the reporting jurisdiction, such as the emissions resulting from the extraction and production of purchased materials and fuels.
The 2010 Regional GHG Inventory includes Scope 1 and 2 emissions (World Resources Institute 2004), including all direct and indirect emissions; Scope 3 emissions are not included.";33545577.0;(41.8781136, -87.6297982);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Las Vegas;10495;USA;Las Vegas;;2012;2011;International Emissions Analysis Protocol (ICLEI);The City also participated in a Regional Greenhouse Gas Emissions Inventory with other Southern Nevada jurisdictions, which analyzed regional energy consumption and total emissions for power, gas, transportation, and waste for the residential, commercial and industrial sectors from all community-related activities (e.g., residential and commercial buildings, motor vehicles, waste streams, industry). Scope 1 and Scope 2 emissions were input into the Clean Air Climate Protection (CACP) 2009 software tool following ICLEI protocol.  The first inventory was completed in early 2011 and was updated in early 2012.;27803600.0;(36.1699412, -115.1398296);(37.09024, -95.712891);2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roma Capitale;31110;Italy;Rome;C40;2012;2010;;The metodology is top - down, using data of primary energy source amount.;10008879.0;(41.8723889, 12.4801802);(41.87194, 12.56738);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Stockholm;3429;Sweden;Stockholm;C40;2012;2009;Other: City of Stockholm's standard. Developed in1996;"Stockholm collect energy statistics and calculates it into CO2e.
Stockolm include CO2, CH4, N2O. In addition, we calculate the emissions from the fuel throughout the life cycle (LCA).

The city calculates the emissions from the production of heat, cold production, electricity use and energy to transport within the city limits.

The city collects the statistics from:
The energy for district heating, district cooling and gas distrubuerad in the city, from the local energy company.
Oil deliveries and electricity from the national government statistics office.
Energy for transport from the city's research department.";2852000.0;(59.3293235, 18.0685808);(60.128161, 18.643501);2009-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prefeitura do Rio de Janeiro;31176;Brazil;Rio de Janeiro;C40;2012;2005;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"The methodology was developed by the Climate / COPPE / UFRJ, from the 2006 IPCC Guidelines for National Greenhouse Gas, with the adjustments already made in the Inventory of Anthropogenic Emissions and Removals of Greenhouse Gas Emissons not Controlled by Montreal Protocol - Initial Communication of Brazil (MCT, 2004), and upgraded to the standard division in scopes as in GHG Protocol.

The main methodological issue considered is the delimitation of the inventory scope, by restricting those sources whose emissions result only from socio-economic activities in the responsibility of the Municipality of Rio de Janeiro, considering that these are activities that may suffer interference municipal government. The inventory, so called Emissions Inventory Greenhouse Gas of Rio de Janeiro City and not, ""in Rio de Janeiro City,"" does not incorporate the emissions occurring in the geographical boundaries of the municipality, but those occurring under their responsibility. 

By the end of 2011, the GHG emissions inventory from the city of Rio de Janeiro report was adapted to enable its presentation/comparison according to the emerging global protocol for community-scale greenhouse gas inventories, which Global Basic Standard for Community GHG Inventories disaggregates the emissions in three different scopes:
Scope 1 includes all direct emissions of GHG within the geographical boundaries of the city.
Scope 2 includes indirect GHG emissions associated with the consumption of purchased electricity. These emissions are caused by the share of electricity consumption in the city of Rio de Janeiro that is generated outside the city.
Scope 3 includes some indirect GHG emissions not accounted in Scopes 1 and 2.
It is worth to mention that the standard used to develop this inventory reflects global best practice, with input from academia, WRI, and World Bank, and is believed to be consistent with emerging international standards such as those being discussed by ICLEI-C40 (of which Rio de Janeiro is a member of both).

The reductions of GHG emissions presented at the point 4.4 of this questionnaire are related to the more conservative scenario established by the Inventory (Scenario B), considering the year of 2020 (limit of the period of reduction targets established by Law n. 5248/2011).";11351700.0;(-22.9054389, -43.5614471);(-14.235004, -51.92528);2005-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Village of Kadiovacik;35755;Turkey;Kadiovacik;;2012;2011;2006 IPCC Guidelines for National Greenhouse Gas Inventories;Green house gas protocol worksheets are used;654.5;(38.3434574, 26.553613);(38.963745, 35.243322);2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of St Louis;35393;USA;St. Louis;;2012;2010;International Emissions Analysis Protocol (ICLEI);This inventory was conducted using processes developed by ICLEI for their Cities for Climate Protection Program.  ICLEI provided an Excel-based Master Data Workbook to aid with the data organization.  Data was then entered into ICLEI’s emissions-calculating software, Clean Air-Climate Protection (2009) version 3.0 (CACP).  CACP is the primary tool used by local governments in the United States to conduct greenhouse gas emissions inventories.  Prior to data entry into CACP, some coefficients must be manually entered.  This inventory used a list of published electricity emissions factors by EPA’s Emission and Generation Resource Integrated Database (eGRID) for region SERC Midwest for 2005, and the North American Electric Reliability Corporation (NERC) electricity factors for criteria air pollutants for 2005 for the region represented by map number 04.;7549862.0;(38.6270025, -90.1994042);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ayuntamiento de Madrid;31171;Spain;Madrid;C40;2012;2009;;"EMEP (Cooperative programme for monitoring and evaluation of the long-range transmission of air pollutants in Europe)-CORINAIR METHODOLOGY harmonized with IPCC.

The municipal emissions inventory takes into account the six main GHG (carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perflurocarbons and sulphur hexafluoride) and other major air pollutants considered in the methodology (heavy metals, particles, SO2, NOx, NMVOCs,CO,NH3, POPs) that could also have an indirect effect on climate change due to gaseous chemical reactions (ozone production).";13139000.0;(40.1076253, -3.3875673);(40.463667, -3.74922);2009-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Toronto;31117;Canada;Toronto;C40;2012;2008;The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB);"Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste.

a. Energy Heating and Cooling:
Electricity and natural gas consumption for some City Departments (ABCCDs) are monitored through the Facilities Management Division. Emissions factors for electricity and natural gas are applied to consumption data in order to arrive at a GHG emissions total. The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure.

b. Transportation: 
Data are collected and standardized only for car and truck traffic through the City using four main sources: 
o truck traffic counts of approximately 200 intersections throughout the city from the City of Toronto’s Transportation Services Division
o accumulated traffic count data from years 1987 to 2004 from the City of Toronto’s Transportation Services Division
o the number of Ministry of Transportation registered vehicles in the City, and;
o a Canadian standard developed by a Canadian consultant

The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and the EPA’s Mobil 6.2 software is used to calculate total emissions from mobile sources.

c. Waste: 
Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.";25100000.0;(43.653226, -79.3831843);(56.130366, -106.346771);2008-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
