City Name,Account No,Country,City Short Name,C40,Reporting Year,Primary Methodology,Methodology Details,Accounting Year,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in Emissions,Further Information,City Location,Country Location
Comune di Torino,35886,Italy,Comune di Torino,,2013,"Other: The city of Turin used, for its emission inventory, the methodology suggested by JRC (“How to develope a sustainable energy action plan”) for the Covenant of Mayors initiative.","The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year).",2005-01-01 - 2005-12-31,5065364,CO2 emissions are increasing.,,"(45.070312, 7.6868565)","(41.87194, 12.56738)"
City of Amsterdam,31148,Netherlands,Amsterdam,C40,2013,Other:,Energy use,2011-01-01 - 2011-12-31,5094000,"The slight increase is caused by companies. Due to increase in amount of companies and economic acitivities. 47.5 % of CO2 emissions is caused by companies. So increase in their emissions overrules any decrease in other sectors. In fact, in 2011 a decrease in CO2 emissions related to citizens and transport.",,"(52.3702157, 4.8951679)","(52.132633, 5.291266)"
City of Dallas,35860,USA,Dallas,,2013,US Community Protocol for Accounting and Reporting,Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.,2010-01-01 - 2010-12-31,17229388,,,"(32.7801399, -96.8004511)","(37.09024, -95.712891)"
City of Minneapolis,35879,USA,Minneapolis,,2013,US Community Protocol for Accounting and Reporting,,2011-01-01 - 2012-01-01,4735289,"Emissions increased slightly over 2010 levels, primarily driven by a change in the fuel mixture of our electricity provider.  Xcel Energy's emissions factor increased by almost 4% in one year.  Total electricity usage was down from 2010 to 2011.  Natural gas usage also increased 11%.",,"(44.983334, -93.26667)","(37.09024, -95.712891)"
City of Oslo,14088,Norway,Oslo,C40,2013,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"The GHG emission data is based upon the national inventory data submitted to the IPCC. Statistics Norway has made a calculatory distribution based on available data and input based on a combination of bottom up data (when data available at municipal level), and top down based on activity data (when no municipal data available). The series of municipal has been made for the period 1991 to 2009. The 2011 figures are thus preliminary based on projected data. The 2011 projection is based on available regional data or nation projections for the different sources.

The data from Statistics Norway is based on the Kyoto protocol methodology. There are thus no emissions from electricity used in Oslo, as there is no significant production of electricity in Oslo and that the Norwegian electricity grid is based on hydro power. The emission target  of reducing GHG emission with 50% from 1991 to 2030 is based on the assumption of direct emission of CO2, CH3 and N2O (scope 1)

The hydro power production company E-Co is 100 % owned by the City of Oslo and produces more than 9 TWh a year. This is equivalent with the present consumption of electricity in Oslo.

BYM ved DB henter ut tall og metodisk beskrivelse fra forstudien fra MISA",2011-01-01 - 2011-12-31,2344284,"Energy generation is district heating according to figure from Hafslund Varme for Oslo. The figures are estimated from the emission and energy use data series from 1991 - 2009, delivered by Statistic Norway. As their methodology is under revision, there will be no emission data for 2011 until Statistic Norway has calculated GHG emission data series according to new methodology. 

The estimation of GHG and energy use is based on national development from 2009 to 2011, and regional estimation when available. Energy generation is district heating according to figures from Hafslund Varme for Oslo. http://2011.hafslund.no/forretningsomradene/varme/

Biological treatment of organic waste in Oslo has been starting up. The Anaerobic Food and Sludge Processing Plant shall produce bio methane for buses and biofertilizer for around 100 middle sized farms. The plan are presently being put into operation, thus there will be no emission or energy output calculated for 2011 and 2012.","The emission data for 2011 are preliminary and calculated as a forecast of the 2009 emissions, These data that has estimated by Statistic Norway and the forecast is made by the City of Oslo.
Between 1991 and 2009, emissions increased by 13 percent to 1.32 million tons. Half of GHG emissions in Oslo in 2009 came from the transport sector, however the use of fossil fuels for heating also contributed to substantial emissions; stationary combustion accounted for 38 percent of emissions in 2009. The City Council then asked the national government to permit a local tax on heating oil in order to reach the city target of phasing out all oil heating by 2020. This was rejected, but we are expecting a better regulatory and investment scheme that allows for a more rapid phasing out of oil heating.
 
While total emissions increased in Oslo 1991-2009, emissions per capita declined by 9 percent. Oslo’s increased by more than 100,000 between 1991 and 2009. This has led to increased emissions from transport and energy; however most of the increase in energy use stems from electricity which does not lead to direct GHG emissions (i.e. scope 2). Thus, the main target for reducing GHG emissions is the transport sector. Since Oslo is a transport hub in central Norway, this is challenging. The main strategies have been to enhance public transport (investments, operations and traffic flow) and increased use of Electric Vehicles (EVs) in the urban region (today more than 4000 EVs and rapidly growing). 
 
Today, Oslo has relatively low emissions per capita compared to other Norwegian and Scandinavian cities; around 2.3 tons of CO2 equivalents per person in 2009. This is partly because there are no large industrial companies in the municipality, and that there is great use of hydropower. In addition, much of the demand for transport in Oslo is covered by public transport, walking and cycling, partly because of a dense urban structure.","(59.9138688, 10.7522454)","(60.472024, 8.468946)"
City of Stockholm,3429,Sweden,Stockholm,C40,2013,Other: City of Stockholm's standard. Developed in1996,"Greenhouse gas emissions inventory – The Stockholm proprietary method

Stockholm includes the greenhouse gases CO2, CH4 and N2O in the yearly inventory of CO2e emission within the community boundary. 

The total emissions for the community include (Scopes as defined in ""International standard for determining greenhouse gas emissions for cities"" Version 2.1 and ""Global protocol for community-scale greenhouse gas emissions (GPD)"" Pilot Version 1.0):
•	scope 1 and 3 emissions from district heating and cooling system and other in-boundary fuel combustion for heating
•	scope 2 and 3 emissions of the house-hold electricity consumption within the community boundary
•	scope 1 and 3 emissions of use of gas for e.g. cooking
•	scope 2 and 3 emissions for electricity use in the transportation system (metro, commuter train and train) within the community boundary
•	scope 1 and 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, and scope 1 emissions from aviation (within the landing and take-off cycle, i.e. up to 915m).

This means that scope 3 emissions from transportation of Stockholmers outside the community boundary is not included (but transportation of non-Stockholmers within the community boundary is included). Emission from household waste incineration is embedded in the district heating emissions. Energy use for waste-water handling is included in the total community energy use.

Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001. The report is widely used and acknowledged in Sweden. The global warming potentials are GWP100 from IPCC 2007, as recommended by the Swedish Environmental Protection Agency (SEPA).

Energy statistics are collected from different sources. District heating and gas statistics are collected from the companies in charge, electricity statistics is compiled at, and collected from, Statistics Sweden. Emission from road transport is modelled using an extensive emission model combined with a road model over Stockholm, so that a large variety of vehicles, speeds, road types etc. are included. Non-road vehicle statistics derives from Statistics Sweden, marine emissions within the community boundary are based on emissions and energy use presented in environmental reports from shipping companies and Stockholm Hamnar (Ports of Stockholm), and further elaborated to account for the community of Stockholm only.

The latest revision of the methodology for greenhouse gas emission inventory in the City of Stockholm has been approved by the Envionment and Health Administrations political board.",2010-01-01 - 2010-12-31,3189000,"The emissions increased in 2010 compared to earlier years due to an exceptional cold year. This lead to an increased use of energy to heating, but also to a larger portion of fossil fuels in the district heating system to meet the heating demand during short periods of extreme cold events. Also the emission factors for the electricity mix used increased due to an increased portion of imported electricity, which is calculated using coal condense power, i.e. very high emissions factors.

The emission model for the transportation sector was replaced during 2010, which led to higher estimations of the emissions from road transportation. It is important to note that the increase is not due to a larger vehicle fleet in Stockholm, or due to worse combustion engines in the fleet!",,"(59.3293235, 18.0685808)","(60.128161, 18.643501)"
Moscow Government,31174,Russia,Moscow,C40,2013,Other: 2006 IPCC Guidelines for National Greenhouse Gas Inventories (Revised 1996 Guidelines).,,2012-01-01 - 2012-12-31,43230745.4,Greenhouse gas emissions have remained stable compared with the previous years. The long-term plan to reduce them as a result of the relevant activities of the city target programs.,,"(55.755826, 37.6173)","(61.52401, 105.318756)"
Vilnius City Municipality,36154,Lithuania,Vilnius,,2013,Other: EU Directive 2003/87/EB,,2011-01-01 - 2011-12-31,1499304,,,"(54.6871555, 25.2796514)","(55.169438, 23.881275)"
Greater Manchester,35898,United Kingdom,Manchester,,2013,Other: UK National Atmospheric Emissions Inventory,"The data presented here represent a spatial disaggregation of the CO2 from the UK Greenhouse Gas Inventory (GHGI), part of the National Atmospheric Emissions Inventory (NAEI), on an end user basis. The CO2 emissions are estimated, by sector, for each local authority in the UK.

The UK official Greenhouse Gas inventory (GHGI) is compiled annually by AEA on behalf of the Department for Energy and Climate Change (DECC) as part of the NAEI programme. The GHGI is compiled and reported using international best practice guidance and draws on a variety of National Statistics and sector specific data sources. The UK GHGI is reported each year to the United Nations Framework Convention on Climate Change (UNFCCC) and the European Monitoring Mechanism (EUMM) and is used to assess compliance with the targets set nationally and internationally such as in the Kyoto Protocol. A consistent method and common base of activity data is used across the NAEI programme. This provides internally consistent inventories and emissions projections of greenhouse gases and air quality pollutants.",2010-01-01 - 2010-12-31,16608920,"The overall increase in emissions has primarily resulted from a rise in residential gas use, combined with fuel switching away from nuclear power to coal and gas for electricity generation. In 2010, these factors mainly affected emissions of carbon dioxide, rather than other gases, and since CO2 makes the largest contribution to the UK total, any change in CO2 emissions is likely to drive a similar change in total emissions.",,"(53.479324, -2.2484851)","(55.378051, -3.435973)"
City of Berlin,31153,Germany,Berlin,C40,2013,"Other: Statistical Institute Berlin-Brandenburg,","The balance of energy-related CO2 emissions is calculated according to a methodology agreed between the German states. There are two ways to look at energy-related CO2 emissions: (1) The calculation of carbon balance based on primary energy sources is subdivided by the sources of emissions, energy transformation and final energy consumption. This method shows only the total amount of carbon dioxide emitted in the city but it does not include the impact of external electricity trade. Therefore, the consumption of final energy consumers is not reflected. That is why Berlin prefers method (2) which is a consumption-based accounting of CO2 emissions. This methodology of calculating CO2 emissions is based on data from the end-use sectors, and puts electricity imports into account. It also adds to the end-users’ emissions those produced by generation of electricity and district heating in the energy transformation sector. Consumption-based accounting of CO2 emissions is therefore one indicator to find out the end-users’ emissions in a region.
The calculation is based on the energy balance as comprehensive and complete presentation of the energy consumption as a basis. In addition there are specific CO2 factors necessary based on the calorific value of an energy source offered by the Federal Environment Agency differentiated according to energy source and application.",2009-01-01 - 2009-12-31,20168000,"The largest source of CO2 emissions in Berlin is the sector ""Households, Commerce, Trade and Services and Other Consumers"" with a share of 68.8 percent in 2009. In this sector the reduction of CO2 emissions accounted to 5.3 million tons compared to 1990. This was – in absolute numbers – the greatest reduction. The sector ""Traffic"" accounted for 23.4 percent of CO2 emissions. Here, the emissions went down by 3.9 percent compared to 2008. The sector ""Quarrying for Stones, Other Mining and Processing Trade"" accounted for 7.8 percent of CO2 emissions. This sector reduced its emissions by 21.5 percent compared to 2008.

In 2009 the final energy consumption per inhabitant of Berlin accounted to 72.6 gigajoules. This was less than the national average, which was 106.2 gigajoules in 2009. Compared to 1990, the final energy consumption per inhabitant of Berlin went down by 5 percent.",,"(52.5200066, 13.404954)","(51.165691, 10.451526)"
City of Warsaw,31185,Poland,Warsaw,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Warsaw prepared the inventory (more precisely, the calculation of carbon footprint)  in 2008, which covered the years 1990, 1995, 2000 and 2007. The methodology used was taken from the United Nations IPCC works. The area of calculation was: electricity and heat used, transport (public and individual), communal waste management, sewage treatment as well as carbon sequestration by soil and biomass. The emissions from electricity used were calculated by first collecting the information from the users and then multiplying it by an appropriate CO2 emissions indicator based on national energy mix in Poland. The same indicator was used for years 1990, 1995, 2000, while for the year 2007 the indicator was different. The emissions from heat were calculated using the data about production of heat from different types of fuel. Next, on the basis of CO2 emissions indicators for each kind of fuel the final calculation was done. The calculation for transport was divided in four categories: individual cars, pick-ups, lorries and public transport. For each of them different indicators of CO2 emissions were used, depending on the year of vehicle production as well as on the share in the modal split. With regard to waste management, the amount of waste and the way of dealing with it allowed to calculate the emissions of different GHG in CO2 equivalent. The amount and characteristics of communal sewage, as well as the way it was treated, allowed to calculate the emissions of different GHG in CO2 equivalent. 
This methodology was used by the Institute for Sustainable Development while preparing the first Warsaw emission inventory - what resulted in number of 10 727 200 tonnes of CO2 for year 2007, which was reported in the previous edition of CDP. However, the latter calculations performed by the KAPE and NAPE energy agencies for purposes of Warsaw Sustainable Energy Action Plan used a slightly different methodology (including not counting absorption), following the SEAP guidelines from the Covenant of Mayors Office. The result equaled 12 952 984 tonnes for 2007.  First internal SEAP report, completed in second half of 2012, resulted in assessment of 13 304 435 tonnes of CO2 for 2011 (values given in points 1.4-1.8 are all for year 2011 - the corresponding values for 2012 are not available yet).",2007-01-01 - 2007-12-31,13304435,The slight overall increase of emissions in 2011 compared to 2007 was caused by the increased contribution from transport and electricity (while emissions connected with buildings and with heat decreased). In turn the internal report confirmed overall slight decrease of energy consumption and increasing share of renewable energy sources.,,"(52.2296756, 21.0122287)","(51.919438, 19.145136)"
Gemeente Rotterdam,31179,Netherlands,Rotterdam,C40,2013,Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment,"For the city of Rotterdam the GHG protocol is used and the governmental boundaries apply, hence including the port. The Rotterdam Climate Initiative (RCI) uses scope 1 for its target: 50% reduction of the CO2 emissions in 2025 compared to the 1990 level. 
Some 88% of the CO2 emissions is caused by the industry in the Port of Rotterdam. 
Next to that we monitor the scope 2 emissions for the built environment. This number is filled in in C1.5 but is not used for the monitoring of the RCI target.  
An inventory was made on the emissions in 2009 and 2011 of the other green house gasses, but these numbers have a limited accuracy. These numbers are not included in C1.5.",2011-01-01 - 2011-12-31,29460000,There is a relatively small decrease (minus 250 kton). Partly due to lower gas use in buildings during winter time (soft winter) and lower emissions in the chemical sector due to the economic crisis.,,"(51.9244201, 4.4777325)","(52.132633, 5.291266)"
Greater London Authority,3422,United Kingdom,Greater London Authority,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities).

Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate energy consumption and CO2 emissions from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport.

In 2013, London will assess Scope 1 + Scope 2 + Scope 3 greenhouse gas emissions in conformity with PAS 2070.",2010-01-01 - 2010-12-31,44284675,Continued delivery of Mayoral programmes and decarbonisation of national grid.,,"(51.5073509, -0.1277583)","(55.378051, -3.435973)"
