City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for Increase/Decrease in emissions,City Location,Country Location
Distrito Metropolitano de Quito,42178,Ecuador,Quito,C40,2015,12/31/2011 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,5164945,Decreased,"The GHGs emissions in 2011, decreased in comparison to the 2007 projected GHGs emissions growth rate, particularly in the transport sector.","(-0.2333, -78.5167)","(-1.831239, -78.183406)"
City of Philadelphia,31181,USA,Philadelphia,C40,2015,12/31/2012 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),"In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol.

Electricity, natural gas and steam usage was provided by the local utilities.

Data related to onsite combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population.

Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles

Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities.

Waste data was modeled using MSW and private collection data along with local landfill and incinerator emissions based on total waste. This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia",19212870.06,Decreased,See www.phila.gov/green for 2012 Citywide Inventory Report (published Spring 2015) which discusses in-depth trends for the City's carbon emissions.,"(39.952335, -75.163789)","(37.09024, -95.712891)"
Metropolitan Municipality of Lima,31170,Peru,Lima,C40,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","According to the GPC Methodology, Lima's inventory level of reporting corresponds to GPC Basic. This level involves stationary units, mobile units, waste, industrial processes and product use. Emissions from scopes 1 and 2 are included. 

Three sources of emission were analysed: 
Stationary units: Emissions from residential buildings, commercial buildings and industrial consumption of electric energy (we did not include industrial processes since reliable information was not available).

Mobile units: emissions from transport units.

Waste: emissions from waste disposal and wastewater treatment.


GPC methodology allows for exclusion of information sources, in this case we have made the following exclusions:

-Emissions from leakage of refrigerants and fire suppression agents: Because of lack of enough information to estimate the amount of refrigerants and fire suppression agents used within the boundaries of the assessment.
-Direct emissions of SF6 leakage: because of lack of sufficient information to estimate the amount used.
-Direct emissions in industrial processes: Lack of sufficient to estimate emissions in the present report.
-Emissions from product use: Lack of sufficient information related to the consumption of products that emit GHGs within the limits of the evaluation.

Method of calculation details can be found at the GPC.

Data collection was through formal communication with government bodies such as ministries and their descentralised units. Letters of request and interviews (by telephone and face to face) were conducted in order to collect information.",15432105,This is our first year of calculation,"No podemos compararlo con otros estudios, ya que es el primero en realizarse.","(-12.046374, -77.042793)","(-9.189967, -75.015152)"
Ayuntamiento de Cuernavaca,50366,Mexico,Cuernevaca,,2015,12/31/2010 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),,1131908.75,,,"(18.924209, -99.221566)","(23.634501, -102.552784)"
Halifax Regional Municipality,50543,Canada,Halifax,,2015,12/31/2009 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),,6055574,Decreased,Successful waste diversion program limiting GHGs from landfill. No specific line item for institutional in 2009 inventory.,"(44.6478, -63.5714)","(56.130366, -106.346771)"
City of Aspen and Pitkin County,52897,USA,Aspen and Pitkin County,,2015,12/31/2011 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Inventory completed by Cameron-Cole, LLC in accordance with the ICLEI US Community Protocol. 

2014 Community-wide inventory is currently being compiled and will be ICLEI USCP compliant.",477621,Decreased,"Between 2007 and 2011, emissions from stationary combustion decreased 19%. Emissions from air travel decreased 11%. Emissions from ground transportation increased by 8%. Emissions from purchased electricity decreased by 6%. De minimis emissions decreased by 20%. Grand total emissions decreased by 4% since 2007 and 6% since 2004, the baseline.","(39.195, -106.837)","(37.09024, -95.712891)"
City of Cape Town,35858,South Africa,Cape Town,C40,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report.
The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category. 
Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated  into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train)

The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors.

In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.",22683041,Decreased,"The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).","(-33.9253, 18.4239)","(-30.559482, 22.937506)"
Pretoria - Tshwane,49360,South Africa,Pretoria,C40,2015,06/30/2013 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),The methodology as defined in the International Local Government GHG Emissions Analysis Protocol V1.0 and the Local Government Operations Protocol for the Quantification and Reporting of GHG Inventories V1.1 where used where applicable and viable.,11984729,Stayed the same,,"(-25.746111, 28.188056)","(-30.559482, 22.937506)"
Ville de Lausanne,54520,Switzerland,Lausanne,,2015,12/31/2013 12:00:00 AM,Other:,Baseline Emission Inventory of the Covenant of Mayor,499573,Decreased,see SEAP,"(46.5198, 6.6335)","(46.818188, 8.227512)"
Métropole Nice Côte d'Azur,50220,France,Nice,,2015,12/31/2010 12:00:00 AM,Other: Bilan Carbone,,3352154,,,"(43.710173, 7.261953)","(46.227638, 2.213749)"
City of Oakland,50560,USA,Oakland,,2015,12/31/2013 12:00:00 AM,Other: Local Government Operations Protocol,(ICLEI / The Climate Registry / California Climate Action Registry / California Air Resource Board),1992444,This is our first year of calculation,,"(37.8044, -122.2708)","(37.09024, -95.712891)"
Greater London Authority,3422,United Kingdom,London,C40,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","London's inventory is in line with the GPC, but in 2012 does not fully break down emissions according to GPC requirements.

Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities).

Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.",40750490,Increased,"London's absolute CO2 emissions increased in 2012 on 2011 levels. As London reports its CO2 emissions as non weather-corrected, the increase in 2012 is largely due to a colder winter in 2012 compared to 2011, and therefore a higher number of heating degree days in 2012 compared to 2011. The use of coal in electricity generation also increased at the national level. However, London's emissions still fell by 10% on 1990 levels, and, significantly, despite an unprecedented increase in London's population, London's per capita emissions remain the UK's lowest at 4.9 tonnes.","(51.504858, -0.078689)","(55.378051, -3.435973)"
Moscow Government,31174,Russia,Moscow,C40,2015,12/31/2014 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Also used: Protocol on greenhouse gas inventory of activities of local governments (Local Government Operations Protocol Version 1.1 (LGO Protocol)) and the Guidelines for National Greenhouse Gas Inventories of the Intergovernmental Panel on Climate Change (IPCC) (2006 IPCC Guidelines for National Greenhouse Gas Inventories ), as well as manuals and C40 CDP",74753792,Decreased,"cCchanged methodology; implemented measures aimed at reducing greenhouse gasGHG emissions, energy efficiency, development of public transport; were more accurate data","(55.759878, 37.634249)","(61.52401, 105.318756)"
Niseko Town,55171,Japan,Niseko,,2015,03/31/2012 12:00:00 AM,,,59080,Increased,,"(42.804704, 140.687493)","(36.204824, 138.252924)"
New Taipei City Government,56276,Taiwan,New Taipei,,2015,12/31/2013 12:00:00 AM,Other: Guidelines of GHG accounting and inventory issued by Taiwan EPA,Guidelines of GHG accounting and inventory issued by Taiwan EPA which is designed on the basis of International Emissions Analysis Protocol.,18096066,Increased,Growing population and new regulation on reporting emission for high carbon-density industries.,"(25.0111, 121.4458)","(23.69781, 120.960515)"
Pingtung County Government,57347,Taiwan,Pingtung County,,2015,12/31/2006 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,0,411260,This is our first year of calculation,,"(22.551976, 120.54876)","(23.69781, 120.960515)"
City of Lahti,54402,Finland,Lahti,,2015,12/31/2013 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,With some national modifications,685460,Decreased,"New waste gasification plant 2012, effective waste water treatment with collecting biogas before composting. Better energy effiency in buildings.","(60.9833, 25.65)","(61.92411, 25.748151)"
City of Leicester,54529,United Kingdom,Leicester,,2015,12/31/2012 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,1799400,Increased,"DECC have attributed this to a shared increase across the UK due to the colder average temperatures experienced in 2012 compared to 2011. With regards to domestic gas use, the colder temperatures increased the demand for space heating in 2012 and therefore household gas use. Relatively high gas prices in 2012 led to an increase in coal for electricity generation, which contributed to increased emissions from the industrial/commercial sector.","(52.6333, -1.1333)","(55.378051, -3.435973)"
City of Reykjavík,54459,Iceland,Reykjavik,,2015,12/31/2013 12:00:00 AM,Other:,IPCC Good Practice Guidance in National Greenhouse Gas Inventories,346630,Increased,"Emissions from traffic has  increased by 2% since 2011. Estimation of GHG emissions from aviation, fishing and sailing have increased by 19% since 2011. The most significant part of the increase is in navigation (passenger, cargo and other ships).","(64.12652, -21.81744)","(64.963051, -19.020835)"
Município de Moita,55442,Portugal,Moita,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG),96508,Decreased,Consumption reduction,"(41.30284, -8.65731)","(39.399872, -8.224454)"
City of Eugene,54070,USA,Eugene,,2015,12/31/2005 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Used the community GHG accounting tool available from ICLEI at the time (2006/2007),1250000,Decreased,"Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.","(44.0519, -123.0867)","(37.09024, -95.712891)"
City of Flagstaff,54113,USA,Flagstaff,,2015,12/31/2014 12:00:00 AM,Other: Excel,Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation),1211617.47,Stayed the same,"City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.","(35.1992, -111.6311)","(37.09024, -95.712891)"
City of Lakewood,54075,USA,Lakewood,,2015,12/31/2007 12:00:00 AM,Other: Hybrid Demand-Center Life Cycle Assessment Methodology developed by Ramaswami et. al.,"The City of Lakewood GHG Emissions Inventory assesses 2007 GHG emissions using a hybrid demand-center life cycle assessment methodology developed by Ramaswami et. al. The method uses the standard Local Government Operations Protocol (LGOP) released by ICLEI\-Local Governments for Sustainability to report GHG emissions from in-boundary activities. Out-of-boundary activities critical to a community such as the provision of food, water, fuels and dwellings are added to the in-boundary activities to yield an expanded inventory that becomes a more comprehensive “carbon emissions footprint”.

In 2015, the City of Lakewood worked with a GHG emissions analyst and updated the 2007 report figures based on more accurate electricity and surface transportation emission factors.",1727870,Decreased,"We only have a single GHG inventory; however our projections indicate a decrease based on the following reasoning:

While the City of Lakewood’s population and material sector emission factors have increased annually, the emission factors for electricity and transportation have decreased annually as a result of the State of Colorado’s Renewable Portfolio Standard and improvements to vehicle fuel efficiency required by the Federal CAFE standards. (See attachment: Lakewood CO-BAU determination)","(39.7047, -105.0814)","(37.09024, -95.712891)"
City of Santa Monica,54110,USA,Santa Monica,,2015,12/31/2011 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,705443,Decreased,,"(34.0219, -118.4814)","(37.09024, -95.712891)"
City of Yonkers,52893,USA,Yonkers,,2015,12/31/2010 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",We just measured energy but used a methodology similar to WRI. We used NYSERDA' s emission factor.,1248650,Decreased,It is not clear but we assume that economic factors are the primary driver of the decrease.,"(40.9414, -73.8644)","(37.09024, -95.712891)"
"City of Lake Forest, IL",57616,USA,"Lake Forest, IL",,2015,12/31/2007 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,402364,This is our first year of calculation,,"(42.258634, -87.840625)","(37.09024, -95.712891)"
Kaohsiung City Government,31112,Taiwan,Kaohsiung,,2015,12/31/2013 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,56234284,Decreased,"Compared to 2012 (56874000 tonnes), greenhouse gas emission in 2013 (56234300 tonnes) is slightly lower. If we look back on emission data of last few years, the amount of GHG emission in Kaohsiung is slightly on a down trend. The main source of GHG emission in Kaohsiung is industry sector accounting for over 80% of total amount, which makes carbon reduction works even tougher in the city. However, implementing and cooperating with the regulations of GHG control rules published by central administrative authority, Kaohsiung believes that positive results will gradually reveal soon.","(22.629705, 120.343804)","(23.69781, 120.960515)"
Taipei City Government,31446,Taiwan,Taipei,,2015,12/31/2013 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"GHG emissions counting in Taipei City contain 6 categories, which include transportation, residence & business, industry, waste, agriculture as well as forestry, and Scope 1 & 2 activities. All inventories based on IPCC methodology.",14364400,Decreased,"In order to achieve the goal of city’s carbon reduction policy, the city’s bureaus implement carbon reduction strategies or activities through consolidated network; participation in international action to reduce greenhouse gases, and the outcomes have been gradually vivid. In addition, 2013 citywide electricity consumption is the lowest for the last five years account for the total emission decline.","(25.037525, 121.563782)","(23.69781, 120.960515)"
Barreiro,50679,Portugal,Barreiro,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).,284933,Other:,It's the first year that we are using the Greenhouse Gas Protocol.,"(38.660815, -9.079072)","(39.399872, -8.224454)"
Dublin City Council,31313,Ireland,Dublin,,2015,12/31/2011 12:00:00 AM,,See LGO1.3 attachment,2942349,Other: This is our first year of estimation,,"(53.344479, -6.270843)","(53.41291, -8.24389)"
Municipalidad de La Paz,50364,Bolivia,La Paz,,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Global Protocol for Community-Scale GHG Emission Inventories (GPC), norma Internacional ISO 14064:1 para Gases de Efecto Invernadero, las herramientas de medición del Greenhouse Gas Protocol (GHG Protocol) y la metodología MC3 (Método Compuesto de las Cuentas Contables5) de Carbonfeel. 

- Alcance 1. Emisiones Directas de GEI: Fuentes de emisión que son de propiedad de la organización o están contraladas por esta. Las emisiones bajo este alcance son de reporte obligatorio según la NB-ISO 14064.
- Alcance 2. Emisiones Indirectas de GEI por energía: Emisiones indirectas de GEI que provienen de la generación de electricidad de origen externo, consumido por la organización. Las emisiones bajo este alcance también son de reporte obligatorio, según la NB-ISO 14064.
- Alcance 3. Otras Emisiones Indirectas de GEI: Las emisiones de GEI indirectas ocurren como consecuencia de las actividades de la organización, pero provienen de fuentes que no son controladas por la misma. Las emisiones bajo este alcance son de reporte
voluntario, según la NB-ISO 14064.",1321.4,Other: This is our first year of estimation,,"(-16.5, -68.15)","(-16.290154, -63.588653)"
Faro,50673,Portugal,Faro,,2015,12/31/2010 12:00:00 AM,Other:,Irradiare,265.85,Stayed the same,,"(37.019355, -7.93044)","(39.399872, -8.224454)"
"City of London, ON",50558,Canada,"London, ON",,2015,12/31/2013 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),"Please see our report, 2013 Community Energy & Greenhouse Gas Inventory for information on methodology used

http://www.london.ca/residents/Environment/Energy/Documents/2013-Inventory-Report.pdf",3070000,Increased,"Given that 2013 experienced more normal winter temperatures compared to the unusually warm winter of 2012, overall natural gas use was up by nine percent in London.

Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2013, greenhouse gas emissions were 18 percent lower than 2007. In fact, London's emissions in 2013 were seven percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to.
Greenhouse gas emissions associated with electricity are significantly lower in 2013 (about 70 percent) than their peak in 2003. In 2013 only two percent of Ontario's electricity demand was generated by burning coal, and 11 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 59 percent nuclear, 23 percent hydroelectric, 4 percent wind and other renewables.

Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions.","(42.9837, -81.2497)","(56.130366, -106.346771)"
City of Minneapolis,35879,USA,Minneapolis,,2015,12/31/2013 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,4689049,Increased,"Emissions increased over 8% since 2012. This was due to the extremely cold winter in 2013, which drove a 33% increase in natural gas consumption over 2012. December 2013 ran 7.5 degrees below average, for the month, and was the 18th coldest on record.","(44.983334, -93.26667)","(37.09024, -95.712891)"
City of Richmond,49334,USA,Richmond,,2015,12/31/2013 12:00:00 AM,,"LGOP, Collected data over a 1 year period with the help of many City departments as well as private utility company.",3188954,Decreased,"increases in efficiency, increased usage of natural gas","(37.540725, -77.436048)","(37.09024, -95.712891)"
Canberra,43928,Australia,Canberra,,2015,06/30/2014 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale.",3977800,This is our first year of calculation,,"(-35.3075, 149.1244)","(-25.274398, 133.775136)"
Singapore Government,35993,Singapore,Singapore,C40,2015,12/31/2010 12:00:00 AM,Other: Revised 1996 IPCC Guidelines,Revised 1996 IPCC Guidelines.,46831860,,,"(1.352083, 103.819836)","(1.352083, 103.819836)"
Wellington City Council,43937,New Zealand,Wellington,,2015,06/30/2013 12:00:00 AM,,"The GHG Inventory for the Wellington Region follows the methodology outlined in the Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) - Pilot Version 1.0. The project team developing the Inventory also participated in the international pilot study implementing and improving the GPC methodology.  
The GPC Pilot Version 1.0 (May 2012) methodology is derived from the National Inventory accounting guidelines of the Intergovernmental Panel on Climate Change, however, it is different to National Inventory reporting (which assesses direct emissions across  New Zealand). The community Inventory assesses both direct (production-based) emission sources within the geographic area (Scope 1) and indirect (consumption-based) emission sources associated with goods and services imported into the geographic area, such as electricity from the national grid, transport into the area that originates outside the area, and imported waste (Scope 2 and 3). The GPC methodology follows emerging international best practice. 
Due to the differences in methodological approach, the Regional, City and Districts absolute and per capita emissions cannot be compared directly to the absolute and per capita emissions reported in the New Zealand National GHG Inventory or emissions accounted for under the national Emissions Trading Scheme. However relative trends and the significance of individual emissions sources can still be compared in many cases.    
 
Even though the GPC methodology was in a pilot phase during the development of this report, we anticipate the GPC to become the accepted international standard for community Inventory development. Participating in the pilot study allows the experience of the Wellington Region’s Councils to contribute to the final version of the GPC. 
While the methodology is detailed in the main report, the following aspects are particularly worth noting:  
",1301739,Decreased,"Reduced petrol use, electricity use and natural gas use. 

Changes in national grid emissions factor.","(26.661763, -80.268357)","(-40.900557, 174.885971)"
Santarém,50672,Portugal,Santarem,,2015,12/31/2006 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,331717,,,"(39.236669, -8.685994)","(39.399872, -8.224454)"
